#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 21.032 , 21.032
0 , 0 , 21.036 , 21.036
0 , 0 , 21.037 , 21.037
0 , 0 , 21.038 , 21.038
0 , 0 , 21.04 , 21.04
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0 , 0 , 21.078 , 21.078
0 , 0 , 21.078 , 21.078
0 , 0 , 21.078 , 21.078
0 , 0 , 21.078 , 21.078
0 , 0 , 21.078 , 21.078
0 , 0 , 21.078 , 21.078
0 , 0 , 21.078 , 21.078
0 , 0 , 21.078 , 21.078
0 , 0 , 21.078 , 21.078
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.14 , 21.14
0 , 0 , 21.172 , 21.172
0 , 0 , 21.172 , 21.172
0 , 0 , 21.172 , 21.172
0 , 0 , 21.172 , 21.172
0 , 0 , 21.172 , 21.172
0 , 0 , 21.172 , 21.172
0 , 0 , 21.172 , 21.172
0 , 0 , 21.172 , 21.172
0 , 0 , 21.172 , 21.172
0 , 0.015 , 21.172 , 21.187
0 , 0 , 21.202 , 21.202
0 , 0 , 21.202 , 21.202
0 , 0 , 21.202 , 21.202
0 , 0 , 21.202 , 21.202
0 , 0 , 21.202 , 21.202
0 , 0 , 21.202 , 21.202
0 , 0 , 21.202 , 21.202
0 , 0 , 21.202 , 21.202
0 , 0 , 21.236 , 21.236
0 , 0 , 21.24 , 21.24
0 , 0 , 21.244 , 21.244
0 , 0 , 21.246 , 21.246
0 , 0 , 21.246 , 21.246
0 , 0 , 21.246 , 21.246
0 , 0 , 21.246 , 21.246
0 , 0 , 21.246 , 21.246
0 , 0 , 21.246 , 21.246
0 , 0 , 21.246 , 21.246
0 , 0 , 21.246 , 21.246
0 , 0 , 21.278 , 21.278
0 , 0 , 21.278 , 21.278
0 , 0 , 21.278 , 21.278
0 , 0 , 21.278 , 21.278
0 , 0 , 21.278 , 21.278
0 , 0 , 21.278 , 21.278
0 , 0 , 21.278 , 21.278
0 , 0 , 21.31 , 21.31
0 , 0 , 21.31 , 21.31
0 , 0 , 21.31 , 21.31
0 , 0 , 21.31 , 21.31
0 , 0 , 21.31 , 21.31
0 , 0 , 21.31 , 21.31
0 , 0 , 21.31 , 21.31
0 , 0 , 21.34 , 21.34
0 , 0 , 21.34 , 21.34
0 , 0 , 21.34 , 21.34
0 , 0 , 21.34 , 21.34
0 , 0 , 21.34 , 21.34
0 , 0 , 21.34 , 21.34
0 , 0 , 21.356 , 21.356
0 , 0 , 21.372 , 21.372
0 , 0 , 21.372 , 21.372
0 , 0 , 21.372 , 21.372
0 , 0 , 21.372 , 21.372
