#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 23.152 , 23.152
0 , 0 , 23.154 , 23.154
0 , 0 , 23.154 , 23.154
0 , 0 , 23.154 , 23.154
0.015 , 0 , 23.154 , 23.169
0 , 0 , 23.184 , 23.184
0 , 0 , 23.184 , 23.184
0 , 0 , 23.184 , 23.184
0 , 0 , 23.184 , 23.184
0.016 , 0 , 23.184 , 23.2
0 , 0 , 23.216 , 23.216
0 , 0 , 23.216 , 23.216
0 , 0 , 23.216 , 23.216
0 , 0 , 23.248 , 23.248
0 , 0 , 23.248 , 23.248
0 , 0 , 23.248 , 23.248
0 , 0 , 23.248 , 23.248
0.015 , 0 , 23.248 , 23.263
0.003 , 0 , 23.343 , 23.346
0 , 0 , 23.352 , 23.352
0 , 0 , 23.352 , 23.352
0 , 0 , 23.352 , 23.352
0 , 0 , 23.352 , 23.352
0 , 0 , 23.352 , 23.352
0 , 0 , 23.384 , 23.384
0.016 , 0 , 23.384 , 23.4
0 , 0 , 23.416 , 23.416
0 , 0 , 23.416 , 23.416
0 , 0 , 23.446 , 23.446
0 , 0 , 23.446 , 23.446
0 , 0 , 23.446 , 23.446
0 , 0 , 23.478 , 23.478
0 , 0 , 23.478 , 23.478
0 , 0 , 23.478 , 23.478
0 , 0.016 , 23.478 , 23.494
0 , 0 , 23.51 , 23.51
0 , 0 , 23.51 , 23.51
0.017 , 0 , 23.51 , 23.527
0.002 , 0 , 23.55 , 23.552
0 , 0 , 23.554 , 23.554
0.015 , 0 , 23.554 , 23.569
0 , 0 , 23.584 , 23.584
0 , 0 , 23.584 , 23.584
0.016 , 0 , 23.584 , 23.6
0 , 0 , 23.616 , 23.616
0 , 0 , 23.616 , 23.616
0 , 0 , 23.616 , 23.616
0 , 0 , 23.648 , 23.648
0 , 0 , 23.648 , 23.648
0 , 0 , 23.648 , 23.648
0 , 0 , 23.648 , 23.648
0 , 0 , 23.678 , 23.678
0 , 0 , 23.678 , 23.678
0 , 0 , 23.678 , 23.678
0 , 0 , 23.71 , 23.71
0 , 0 , 23.71 , 23.71
0 , 0 , 23.71 , 23.71
0 , 0 , 23.71 , 23.71
0 , 0.001 , 23.748 , 23.749
0 , 0 , 23.754 , 23.754
0 , 0 , 23.754 , 23.754
0 , 0 , 23.754 , 23.754
0 , 0 , 23.786 , 23.786
0 , 0 , 23.786 , 23.786
0 , 0 , 23.786 , 23.786
0.015 , 0 , 23.786 , 23.801
0 , 0 , 23.816 , 23.816
0 , 0 , 23.816 , 23.816
0 , 0 , 23.816 , 23.816
0 , 0 , 23.848 , 23.848
0 , 0 , 23.848 , 23.848
0 , 0 , 23.848 , 23.848
0 , 0 , 23.88 , 23.88
0 , 0 , 23.88 , 23.88
0 , 0 , 23.895 , 23.895
0 , 0 , 23.91 , 23.91
0 , 0 , 23.91 , 23.91
0.001 , 0 , 23.944 , 23.945
0 , 0 , 23.955 , 23.955
0.001 , 0 , 23.968 , 23.969
0.001 , 0 , 23.98 , 23.981
0.001 , 0 , 23.992 , 23.993
0.001 , 0 , 24.005 , 24.006
0.001 , 0 , 24.018 , 24.019
0.001 , 0 , 24.032 , 24.033
0.001 , 0 , 24.044 , 24.045
0.001 , 0 , 24.056 , 24.057
0 , 0 , 24.069 , 24.069
0.001 , 0 , 24.082 , 24.083
0.001 , 0 , 24.096 , 24.097
0.011 , 0.001 , 24.11 , 24.122
0.001 , 0 , 24.146 , 24.147
0.001 , 0 , 24.16 , 24.161
0 , 0 , 24.173 , 24.173
0.001 , 0 , 24.188 , 24.189
0.001 , 0 , 24.202 , 24.203
0 , 0 , 24.215 , 24.215
0.001 , 0 , 24.23 , 24.231
0.001 , 0 , 24.243 , 24.244
0.001 , 0 , 24.26 , 24.261
0 , 0.001 , 24.274 , 24.275
0.001 , 0 , 24.29 , 24.291
0.001 , 0 , 24.304 , 24.305
0.001 , 0 , 24.32 , 24.321
0.001 , 0 , 24.334 , 24.335
0.001 , 0 , 24.35 , 24.351
0 , 0 , 24.364 , 24.364
0.001 , 0 , 24.382 , 24.383
0.001 , 0 , 24.396 , 24.397
0.001 , 0 , 24.412 , 24.413
0 , 0 , 24.427 , 24.427
0 , 0.001 , 24.442 , 24.443
0.001 , 0 , 24.46 , 24.461
0.001 , 0 , 24.476 , 24.477
0.001 , 0 , 24.492 , 24.493
0 , 0.001 , 24.508 , 24.509
0.001 , 0 , 24.526 , 24.527
0.001 , 0 , 24.542 , 24.543
0.001 , 0 , 24.558 , 24.559
0.001 , 0 , 24.576 , 24.577
0.001 , 0 , 24.593 , 24.594
0.001 , 0 , 24.61 , 24.611
0.001 , 0 , 24.628 , 24.629
0 , 0 , 24.645 , 24.645
0.001 , 0 , 24.662 , 24.663
0.001 , 0 , 24.68 , 24.681
0.001 , 0 , 24.696 , 24.697
0.001 , 0 , 24.714 , 24.715
0.001 , 0 , 24.734 , 24.735
0.001 , 0 , 24.752 , 24.753
0 , 0 , 24.771 , 24.771
0 , 0 , 24.789 , 24.789
0 , 0.001 , 24.806 , 24.807
0.001 , 0 , 24.826 , 24.827
0.001 , 0 , 24.844 , 24.845
0.001 , 0 , 24.862 , 24.863
0.001 , 0 , 24.882 , 24.883
0.001 , 0 , 24.9 , 24.901
0 , 0 , 24.918 , 24.918
0.001 , 0 , 24.938 , 24.939
0.001 , 0 , 24.956 , 24.957
0.001 , 0 , 24.976 , 24.977
0.001 , 0 , 24.996 , 24.997
0 , 0.001 , 25.014 , 25.015
0 , 0 , 25.035 , 25.035
0.001 , 0 , 25.054 , 25.055
0 , 0.001 , 25.072 , 25.073
0.001 , 0 , 25.094 , 25.095
0.001 , 0 , 25.114 , 25.115
0.001 , 0 , 25.134 , 25.135
0 , 0 , 25.154 , 25.154
0.001 , 0 , 25.178 , 25.179
0.001 , 0 , 25.198 , 25.199
0.001 , 0 , 25.22 , 25.221
0 , 0 , 25.24 , 25.24
0 , 0 , 25.26 , 25.26
0.001 , 0 , 25.282 , 25.283
0.001 , 0 , 25.302 , 25.303
0 , 0 , 25.324 , 25.324
0.001 , 0 , 25.344 , 25.345
0.001 , 0 , 25.366 , 25.367
0.001 , 0 , 25.386 , 25.387
0 , 0 , 25.407 , 25.407
0 , 0 , 25.429 , 25.429
0.001 , 0 , 25.45 , 25.451
0.001 , 0 , 25.474 , 25.475
0.001 , 0 , 25.496 , 25.497
0.001 , 0 , 25.518 , 25.519
0.001 , 0 , 25.542 , 25.543
0.001 , 0 , 25.564 , 25.565
0 , 0 , 25.586 , 25.586
0.001 , 0 , 25.608 , 25.609
0.001 , 0 , 25.632 , 25.633
0.001 , 0 , 25.656 , 25.657
0.001 , 0 , 25.676 , 25.677
0.001 , 0 , 25.7 , 25.701
0 , 0 , 25.722 , 25.722
0 , 0 , 25.746 , 25.746
0.001 , 0 , 25.77 , 25.771
0.001 , 0 , 25.792 , 25.793
0 , 0 , 25.816 , 25.816
0.001 , 0 , 25.84 , 25.841
0 , 0.001 , 25.864 , 25.865
0.001 , 0 , 25.888 , 25.889
0.001 , 0 , 25.912 , 25.913
0.001 , 0 , 25.936 , 25.937
0 , 0 , 25.959 , 25.959
0 , 0 , 25.984 , 25.984
0 , 0 , 26.009 , 26.009
0.001 , 0 , 26.034 , 26.035
0.001 , 0 , 26.058 , 26.059
0.001 , 0 , 26.084 , 26.085
0.001 , 0 , 26.108 , 26.109
0.001 , 0 , 26.134 , 26.135
0 , 0.001 , 26.16 , 26.161
0.001 , 0 , 26.192 , 26.193
0 , 0 , 26.202 , 26.202
0 , 0 , 26.232 , 26.232
0 , 0 , 26.264 , 26.264
0 , 0 , 26.264 , 26.264
0 , 0 , 26.294 , 26.294
0 , 0 , 26.326 , 26.326
0 , 0 , 26.358 , 26.358
0.015 , 0 , 26.358 , 26.373
0 , 0 , 26.402 , 26.402
0 , 0 , 26.434 , 26.434
0 , 0 , 26.434 , 26.434
0 , 0 , 26.464 , 26.464
0 , 0 , 26.496 , 26.496
