#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 23.526 , 23.526
0 , 0 , 23.526 , 23.526
0 , 0 , 23.526 , 23.526
0 , 0 , 23.526 , 23.526
0 , 0 , 23.526 , 23.526
0 , 0 , 23.526 , 23.526
0.016 , 0 , 23.526 , 23.542
0 , 0 , 23.558 , 23.558
0 , 0 , 23.558 , 23.558
0 , 0 , 23.558 , 23.558
0 , 0 , 23.558 , 23.558
0 , 0 , 23.558 , 23.558
0 , 0 , 23.558 , 23.558
0 , 0 , 23.588 , 23.588
0 , 0 , 23.588 , 23.588
0 , 0 , 23.588 , 23.588
0 , 0 , 23.588 , 23.588
0 , 0 , 23.588 , 23.588
0.016 , 0 , 23.588 , 23.604
0 , 0 , 23.62 , 23.62
0 , 0 , 23.62 , 23.62
0 , 0 , 23.62 , 23.62
0 , 0 , 23.682 , 23.682
0 , 0 , 23.682 , 23.682
0 , 0 , 23.682 , 23.682
0 , 0 , 23.682 , 23.682
0 , 0 , 23.682 , 23.682
0.002 , 0.016 , 23.682 , 23.7
0 , 0 , 23.726 , 23.726
0 , 0 , 23.726 , 23.726
0 , 0 , 23.758 , 23.758
0 , 0 , 23.774 , 23.774
0 , 0 , 23.79 , 23.79
0 , 0 , 23.79 , 23.79
0 , 0 , 23.79 , 23.79
0 , 0 , 23.82 , 23.82
0 , 0 , 23.82 , 23.82
0 , 0 , 23.82 , 23.82
0 , 0 , 23.852 , 23.852
0 , 0 , 23.852 , 23.852
0 , 0 , 23.852 , 23.852
0 , 0 , 23.852 , 23.852
0 , 0 , 23.884 , 23.884
0 , 0 , 23.884 , 23.884
0 , 0 , 23.884 , 23.884
0 , 0 , 23.884 , 23.884
0.016 , 0 , 23.884 , 23.9
0.001 , 0 , 23.921 , 23.922
0 , 0 , 23.928 , 23.928
0 , 0 , 23.928 , 23.928
0 , 0 , 23.928 , 23.928
0 , 0 , 23.928 , 23.928
0 , 0 , 23.958 , 23.958
0 , 0 , 23.958 , 23.958
0 , 0 , 23.958 , 23.958
0 , 0 , 23.958 , 23.958
0 , 0 , 23.99 , 23.99
0 , 0 , 23.99 , 23.99
0 , 0 , 23.99 , 23.99
0 , 0 , 23.99 , 23.99
0 , 0 , 24.022 , 24.022
0 , 0 , 24.022 , 24.022
0 , 0 , 24.022 , 24.022
0 , 0 , 24.052 , 24.052
0 , 0 , 24.052 , 24.052
0 , 0 , 24.052 , 24.052
0 , 0 , 24.052 , 24.052
0 , 0 , 24.084 , 24.084
0 , 0 , 24.084 , 24.084
0 , 0 , 24.084 , 24.084
0 , 0.001 , 24.116 , 24.117
0.001 , 0 , 24.126 , 24.127
0 , 0 , 24.128 , 24.128
0 , 0 , 24.128 , 24.128
0 , 0 , 24.128 , 24.128
0 , 0 , 24.158 , 24.158
0 , 0 , 24.158 , 24.158
0 , 0 , 24.158 , 24.158
0 , 0 , 24.19 , 24.19
0 , 0 , 24.19 , 24.19
0 , 0 , 24.19 , 24.19
0 , 0 , 24.22 , 24.22
0 , 0 , 24.22 , 24.22
0 , 0 , 24.22 , 24.22
0 , 0 , 24.252 , 24.252
0 , 0 , 24.252 , 24.252
0.016 , 0 , 24.252 , 24.268
0 , 0 , 24.284 , 24.284
0 , 0 , 24.284 , 24.284
0 , 0.001 , 24.314 , 24.315
0.001 , 0 , 24.326 , 24.327
0.001 , 0 , 24.338 , 24.339
0 , 0.001 , 24.35 , 24.351
0.001 , 0 , 24.362 , 24.363
0.001 , 0 , 24.374 , 24.375
0.001 , 0 , 24.386 , 24.387
0.002 , 0 , 24.398 , 24.4
0.001 , 0 , 24.412 , 24.413
0.001 , 0 , 24.424 , 24.425
0.001 , 0 , 24.436 , 24.437
0.001 , 0 , 24.448 , 24.449
0.001 , 0 , 24.46 , 24.461
0.001 , 0 , 24.474 , 24.475
0.001 , 0 , 24.486 , 24.487
0.001 , 0 , 24.5 , 24.501
0.001 , 0 , 24.512 , 24.513
0.001 , 0 , 24.524 , 24.525
0.001 , 0 , 24.538 , 24.539
0.001 , 0 , 24.552 , 24.553
0.001 , 0 , 24.564 , 24.565
0.001 , 0 , 24.578 , 24.579
0.001 , 0 , 24.59 , 24.591
0.001 , 0 , 24.604 , 24.605
0.001 , 0 , 24.618 , 24.619
0.001 , 0 , 24.632 , 24.633
0.001 , 0 , 24.646 , 24.647
0.001 , 0 , 24.66 , 24.661
0 , 0.001 , 24.674 , 24.675
0.001 , 0 , 24.688 , 24.689
0.001 , 0 , 24.702 , 24.703
0.001 , 0 , 24.716 , 24.717
0.001 , 0 , 24.732 , 24.733
0.001 , 0 , 24.746 , 24.747
0.001 , 0 , 24.76 , 24.761
0 , 0.001 , 24.774 , 24.775
0.001 , 0 , 24.79 , 24.791
0.001 , 0 , 24.806 , 24.807
0 , 0.001 , 24.82 , 24.821
0.001 , 0 , 24.836 , 24.837
0 , 0.001 , 24.85 , 24.851
0 , 0.001 , 24.866 , 24.867
0.001 , 0 , 24.882 , 24.883
0 , 0.001 , 24.896 , 24.897
0.001 , 0 , 24.912 , 24.913
0.001 , 0 , 24.928 , 24.929
0.001 , 0 , 24.944 , 24.945
0 , 0.001 , 24.958 , 24.959
0.001 , 0 , 24.976 , 24.977
0.001 , 0 , 24.991 , 24.992
0.001 , 0 , 25.006 , 25.007
0.001 , 0 , 25.024 , 25.025
0.001 , 0 , 25.04 , 25.041
0.001 , 0 , 25.056 , 25.057
0.001 , 0 , 25.074 , 25.075
0.001 , 0 , 25.09 , 25.091
0.001 , 0.001 , 25.106 , 25.108
0.001 , 0 , 25.126 , 25.127
0.001 , 0 , 25.142 , 25.143
0.002 , 0 , 25.159 , 25.161
0.002 , 0 , 25.18 , 25.182
0.002 , 0 , 25.2 , 25.202
