#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 21.022 , 21.022
0 , 0 , 21.022 , 21.022
0 , 0 , 21.022 , 21.022
0 , 0 , 21.022 , 21.022
0 , 0 , 21.022 , 21.022
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.054 , 21.054
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.084 , 21.084
0 , 0 , 21.192 , 21.192
0 , 0 , 21.192 , 21.192
0 , 0 , 21.222 , 21.222
0 , 0 , 21.222 , 21.222
0 , 0 , 21.222 , 21.222
0 , 0 , 21.254 , 21.254
0 , 0 , 21.254 , 21.254
0 , 0 , 21.254 , 21.254
0 , 0 , 21.254 , 21.254
0 , 0 , 21.284 , 21.284
0 , 0 , 21.284 , 21.284
0 , 0 , 21.284 , 21.284
0.016 , 0 , 21.284 , 21.3
0 , 0 , 21.32 , 21.32
0.001 , 0 , 21.322 , 21.323
0.001 , 0 , 21.326 , 21.327
0 , 0 , 21.328 , 21.328
0 , 0 , 21.328 , 21.328
0 , 0 , 21.328 , 21.328
0 , 0 , 21.328 , 21.328
0 , 0 , 21.328 , 21.328
0 , 0 , 21.328 , 21.328
0 , 0 , 21.328 , 21.328
0 , 0 , 21.328 , 21.328
0 , 0 , 21.36 , 21.36
0 , 0 , 21.36 , 21.36
0 , 0 , 21.36 , 21.36
0 , 0 , 21.36 , 21.36
0 , 0 , 21.36 , 21.36
0 , 0 , 21.36 , 21.36
0.015 , 0 , 21.36 , 21.375
0 , 0 , 21.39 , 21.39
0 , 0 , 21.39 , 21.39
0 , 0 , 21.39 , 21.39
0 , 0 , 21.39 , 21.39
0 , 0 , 21.39 , 21.39
0 , 0 , 21.39 , 21.39
0 , 0 , 21.39 , 21.39
0 , 0 , 21.422 , 21.422
0 , 0 , 21.422 , 21.422
0 , 0 , 21.422 , 21.422
0 , 0 , 21.422 , 21.422
0 , 0 , 21.422 , 21.422
0 , 0 , 21.422 , 21.422
0.016 , 0 , 21.422 , 21.438
0 , 0 , 21.454 , 21.454
0 , 0 , 21.454 , 21.454
0 , 0 , 21.454 , 21.454
0 , 0 , 21.454 , 21.454
0 , 0 , 21.454 , 21.454
0 , 0 , 21.454 , 21.454
0 , 0 , 21.484 , 21.484
0 , 0 , 21.484 , 21.484
0 , 0 , 21.484 , 21.484
0 , 0 , 21.484 , 21.484
0 , 0 , 21.484 , 21.484
0 , 0 , 21.484 , 21.484
0 , 0 , 21.518 , 21.518
0 , 0 , 21.524 , 21.524
0 , 0 , 21.528 , 21.528
0 , 0 , 21.528 , 21.528
0 , 0 , 21.528 , 21.528
0 , 0 , 21.528 , 21.528
0 , 0 , 21.528 , 21.528
0 , 0 , 21.528 , 21.528
0 , 0 , 21.56 , 21.56
0 , 0 , 21.56 , 21.56
0 , 0 , 21.56 , 21.56
0 , 0 , 21.56 , 21.56
0 , 0 , 21.56 , 21.56
0 , 0 , 21.56 , 21.56
0 , 0 , 21.592 , 21.592
0 , 0 , 21.592 , 21.592
