#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.024318 , 0.1 , 24.318 , 24.442318
0.040656 , 0.153 , 24.656 , 24.849656
0.025056 , 0.1 , 25.056 , 25.181056
0.025362 , 0.078 , 25.362 , 25.465362
0.025594 , 0.101 , 25.594 , 25.720594
0.02592 , 0.085 , 25.92 , 26.03092
0.026196 , 0.1 , 26.196 , 26.322196
0.02649 , 0.069 , 26.49 , 26.58549
0.02672 , 0.085 , 26.72 , 26.83172
0.026996 , 0.083 , 26.996 , 27.105996
0.027226 , 0.101 , 27.226 , 27.354226
0.027524 , 0.12 , 27.524 , 27.671524
0.027858 , 0.154 , 27.858 , 28.039858
0.02826 , 0.116 , 28.26 , 28.40426
0.028598 , 0.147 , 28.598 , 28.773598
0.028966 , 0.079 , 28.966 , 29.073966
0.029198 , 0.085 , 29.198 , 29.312198
0.02943 , 0.085 , 29.43 , 29.54443
0.029694 , 0.068 , 29.694 , 29.791694
0.029924 , 0.068 , 29.924 , 30.021924
0.030168 , 0.1 , 30.168 , 30.298168
0.030462 , 0.069 , 30.462 , 30.561462
0.030694 , 0.084 , 30.694 , 30.808694
0.030968 , 0.047 , 30.968 , 31.045968
0.031168 , 0.1 , 31.168 , 31.299168
0.031494 , 0.069 , 31.494 , 31.594494
0.031726 , 0.085 , 31.726 , 31.842726
0.032002 , 0.084 , 32.002 , 32.118002
0.032296 , 0.085 , 32.296 , 32.413296
0.03257 , 0.101 , 32.57 , 32.70357
0.032866 , 0.053 , 32.866 , 32.951866
0.033034 , 0.047 , 33.034 , 33.114034
0.033234 , 0.047 , 33.234 , 33.314234
0.033466 , 0.069 , 33.466 , 33.568466
0.033698 , 0.053 , 33.698 , 33.784698
0.033898 , 0.069 , 33.898 , 34.000898
0.034098 , 0.069 , 34.098 , 34.201098
0.03433 , 0.068 , 34.33 , 34.43233
0.034568 , 0.065 , 34.568 , 34.667568
0.034772 , 0.079 , 34.772 , 34.885772
0.036004 , 0.081 , 35.004 , 35.121004
0.035236 , 0.069 , 35.236 , 35.340236
0.035468 , 0.069 , 35.468 , 35.572468
0.035668 , 0.069 , 35.668 , 35.772668
0.0359 , 0.084 , 35.9 , 36.0199
0.036176 , 0.078 , 36.176 , 36.290176
0.036406 , 0.084 , 36.406 , 36.526406
0.036668 , 0.069 , 36.668 , 36.773668
0.0369 , 0.069 , 36.9 , 37.0059
0.037132 , 0.084 , 37.132 , 37.253132
0.037374 , 0.1 , 37.374 , 37.511374
0.037668 , 0.085 , 37.668 , 37.790668
0.037974 , 0.079 , 37.974 , 38.090974
0.038206 , 0.1 , 38.206 , 38.344206
0.0385 , 0.069 , 38.5 , 38.6075
0.038776 , 0.063 , 38.776 , 38.877776
0.038976 , 0.062 , 38.976 , 39.076976
0.039208 , 0.084 , 39.208 , 39.331208
0.03947 , 0.069 , 39.47 , 39.57847
0.039702 , 0.068 , 39.702 , 39.809702
0.039932 , 0.069 , 39.932 , 40.040932
0.040168 , 0.051 , 40.168 , 40.259168
0.040368 , 0.067 , 40.368 , 40.475368
0.041608 , 0.081 , 40.608 , 40.730608
0.040966 , 0.169 , 40.966 , 41.175966
0.04138 , 0.146 , 41.38 , 41.56738
0.041778 , 0.163 , 41.778 , 41.982778
0.04221 , 0.163 , 42.21 , 42.41521
0.042642 , 0.185 , 42.642 , 42.869642
0.043106 , 0.116 , 43.106 , 43.265106
0.043444 , 0.148 , 43.444 , 43.635444
0.043846 , 0.163 , 43.846 , 44.052846
0.044246 , 0.147 , 44.246 , 44.437246
0.044646 , 0.147 , 44.646 , 44.837646
0.046014 , 0.181 , 45.014 , 45.241014
0.045446 , 0.169 , 45.446 , 45.660446
0.045848 , 0.168 , 45.848 , 46.061848
0.04634 , 0.169 , 46.34 , 46.55534
0.046816 , 0.185 , 46.816 , 47.047816
0.047248 , 0.133 , 47.248 , 47.428248
0.047616 , 0.132 , 47.616 , 47.795616
0.047988 , 0.131 , 47.988 , 48.166988
0.048344 , 0.138 , 48.344 , 48.530344
0.048746 , 0.138 , 48.746 , 48.932746
0.049114 , 0.138 , 49.114 , 49.301114
0.049484 , 0.153 , 49.484 , 49.686484
0.049852 , 0.132 , 49.852 , 50.033852
0.050222 , 0.148 , 50.222 , 50.420222
0.050592 , 0.148 , 50.592 , 50.790592
0.05095 , 0.169 , 50.95 , 51.16995
0.051392 , 0.164 , 51.392 , 51.607392
0.05192 , 0.169 , 51.92 , 52.14092
0.052352 , 0.169 , 52.352 , 52.573352
0.052796 , 0.163 , 52.796 , 53.011796
0.053228 , 0.163 , 53.228 , 53.444228
0.053628 , 0.163 , 53.628 , 53.844628
0.054028 , 0.147 , 54.028 , 54.229028
0.054428 , 0.148 , 54.428 , 54.630428
0.054798 , 0.147 , 54.798 , 54.999798
0.055196 , 0.148 , 55.196 , 55.399196
0.055592 , 0.15 , 55.592 , 55.797592
0.056 , 0.163 , 56 , 56.219
0.0564 , 0.163 , 56.4 , 56.6194
0.056832 , 0.163 , 56.832 , 57.051832
0.057234 , 0.155 , 57.234 , 57.446234
0.057634 , 0.216 , 57.634 , 57.907634
0.05816 , 0.222 , 58.16 , 58.44016
0.058668 , 0.216 , 58.668 , 58.942668
0.059162 , 0.169 , 59.162 , 59.390162
0.059562 , 0.169 , 59.562 , 59.790562
0.059997 , 0.166 , 59.997 , 60.222997
0.060406 , 0.163 , 60.406 , 60.629406
0.060806 , 0.201 , 60.806 , 61.067806
0.061302 , 0.2 , 61.302 , 61.563302
0.061766 , 0.219 , 61.766 , 62.046766
0.062272 , 0.2 , 62.272 , 62.534272
0.062766 , 0.2 , 62.766 , 63.028766
0.06324 , 0.2 , 63.24 , 63.50324
0.063734 , 0.2 , 63.734 , 63.997734
0.064208 , 0.2 , 64.208 , 64.472208
0.064702 , 0.2 , 64.702 , 64.966702
0.065206 , 0.148 , 65.206 , 65.419206
0.065608 , 0.147 , 65.608 , 65.820608
0.066008 , 0.163 , 66.008 , 66.237008
0.066408 , 0.2 , 66.408 , 66.674408
0.066872 , 0.215 , 66.872 , 67.153872
0.068366 , 0.216 , 67.366 , 67.650366
0.067872 , 0.2 , 67.872 , 68.139872
0.084334 , 0.2 , 68.334 , 68.618334
0.06884 , 0.2 , 68.84 , 69.10884
0.069334 , 0.2 , 69.334 , 69.603334
0.069808 , 0.216 , 69.808 , 70.093808
0.070302 , 0.169 , 70.302 , 70.541302
0.070734 , 0.153 , 70.734 , 70.957734
0.071134 , 0.153 , 71.134 , 71.358134
0.071534 , 0.153 , 71.534 , 71.758534
0.071934 , 0.201 , 71.934 , 72.206934
0.07244 , 0.2 , 72.44 , 72.71244
0.072934 , 0.2 , 72.934 , 73.206934
0.073408 , 0.217 , 73.408 , 73.698408
0.073904 , 0.2 , 73.904 , 74.177904
0.07441 , 0.201 , 74.41 , 74.68541
0.074906 , 0.2 , 74.906 , 75.180906
0.075368 , 0.216 , 75.368 , 75.659368
0.075874 , 0.2 , 75.874 , 76.149874
0.076338 , 0.169 , 76.338 , 76.583338
0.076768 , 0.154 , 76.768 , 76.998768
0.07717 , 0.201 , 77.17 , 77.44817
0.077644 , 0.216 , 77.644 , 77.937644
0.078138 , 0.216 , 78.138 , 78.432138
0.078646 , 0.2 , 78.646 , 78.924646
0.07914 , 0.2 , 79.14 , 79.41914
0.079614 , 0.201 , 79.614 , 79.894614
0.09511 , 0.201 , 80.11 , 80.40611
0.080616 , 0.201 , 80.616 , 80.897616
0.081112 , 0.201 , 81.112 , 81.394112
0.081614 , 0.203 , 81.614 , 81.898614
0.082082 , 0.217 , 82.082 , 82.381082
0.083578 , 0.219 , 82.578 , 82.880578
0.084086 , 0.167 , 83.086 , 83.337086
0.083486 , 0.169 , 83.486 , 83.738486
0.083886 , 0.169 , 83.886 , 84.138886
0.084318 , 0.17 , 84.318 , 84.572318
0.084752 , 0.168 , 84.752 , 85.004752
0.101152 , 0.2 , 85.152 , 85.453152
0.085658 , 0.201 , 85.658 , 85.944658
0.086154 , 0.2 , 86.154 , 86.440154
0.086628 , 0.201 , 86.628 , 86.915628
0.087124 , 0.201 , 87.124 , 87.412124
0.087662 , 0.216 , 87.662 , 87.965662
0.088232 , 0.216 , 88.232 , 88.536232
0.088788 , 0.2 , 88.788 , 89.076788
0.089326 , 0.216 , 89.326 , 89.631326
0.089896 , 0.167 , 89.896 , 90.152896
0.090296 , 0.169 , 90.296 , 90.555296
0.090728 , 0.201 , 90.728 , 91.019728
0.091224 , 0.205 , 91.224 , 91.520224
0.091698 , 0.201 , 91.698 , 91.990698
0.092192 , 0.201 , 92.192 , 92.485192
0.092668 , 0.201 , 92.668 , 92.961668
0.093164 , 0.2 , 93.164 , 93.457164
0.093638 , 0.217 , 93.638 , 93.948638
0.094134 , 0.216 , 94.134 , 94.444134
0.09464 , 0.216 , 94.64 , 94.95064
0.095136 , 0.216 , 95.136 , 95.447136
0.095642 , 0.201 , 95.642 , 95.938642
0.096138 , 0.2 , 96.138 , 96.434138
0.096602 , 0.222 , 96.602 , 96.920602
0.097108 , 0.202 , 97.108 , 97.407108
0.097606 , 0.215 , 97.606 , 97.918606
0.09811 , 0.2 , 98.11 , 98.40811
0.098604 , 0.2 , 98.604 , 98.902604
0.099078 , 0.201 , 99.078 , 99.378078
0.099574 , 0.2 , 99.574 , 99.873574
0.10008 , 0.201 , 100.08 , 100.38108
0.100647 , 0.202 , 100.647 , 100.949647
0.101176 , 0.216 , 101.176 , 101.493176
0.101684 , 0.2 , 101.684 , 101.985684
0.102178 , 0.2 , 102.178 , 102.480178
0.102652 , 0.201 , 102.652 , 102.955652
0.103148 , 0.216 , 103.148 , 103.467148
0.103654 , 0.201 , 103.654 , 103.958654
0.10415 , 0.201 , 104.15 , 104.45515
0.104654 , 0.202 , 104.654 , 104.960654
0.10512 , 0.216 , 105.12 , 105.44112
0.106616 , 0.218 , 105.616 , 105.940616
0.106184 , 0.201 , 106.184 , 106.491184
0.106724 , 0.216 , 106.724 , 107.046724
0.107262 , 0.201 , 107.262 , 107.570262
0.107758 , 0.2 , 107.758 , 108.065758
0.10826 , 0.203 , 108.26 , 108.57126
0.108728 , 0.216 , 108.728 , 109.052728
0.109262 , 0.203 , 109.262 , 109.574262
0.109792 , 0.216 , 109.792 , 110.117792
0.11036 , 0.201 , 110.36 , 110.67136
0.1109 , 0.2 , 110.9 , 111.2109
0.111458 , 0.206 , 111.458 , 111.775458
0.111996 , 0.2 , 111.996 , 112.307996
0.112534 , 0.231 , 112.534 , 112.877534
0.113072 , 0.201 , 113.072 , 113.386072
0.113568 , 0.2 , 113.568 , 113.881568
0.114073 , 0.201 , 114.073 , 114.388073
0.11457 , 0.216 , 114.57 , 114.90057
0.115078 , 0.201 , 115.078 , 115.394078
0.115604 , 0.216 , 115.604 , 115.935604
0.116174 , 0.215 , 116.174 , 116.505174
0.116712 , 0.216 , 116.712 , 117.044712
0.117282 , 0.2 , 117.282 , 117.599282
0.117806 , 0.216 , 117.806 , 118.139806
0.118374 , 0.201 , 118.374 , 118.693374
0.118914 , 0.201 , 118.914 , 119.233914
0.11941 , 0.2 , 119.41 , 119.72941
0.119884 , 0.201 , 119.884 , 120.204884
0.12038 , 0.2 , 120.38 , 120.70038
0.120886 , 0.2 , 120.886 , 121.206886
0.12138 , 0.201 , 121.38 , 121.70238
0.121882 , 0.203 , 121.882 , 122.206882
0.12235 , 0.217 , 122.35 , 122.68935
0.12289 , 0.216 , 122.89 , 123.22889
0.123446 , 0.201 , 123.446 , 123.770446
0.123922 , 0.201 , 123.922 , 124.246922
0.124418 , 0.2 , 124.418 , 124.742418
0.124892 , 0.217 , 124.892 , 125.233892
0.125388 , 0.216 , 125.388 , 125.729388
0.125896 , 0.2 , 125.896 , 126.221896
0.12639 , 0.201 , 126.39 , 126.71739
0.126892 , 0.203 , 126.892 , 127.221892
0.12736 , 0.201 , 127.36 , 127.68836
0.127856 , 0.2 , 127.856 , 128.183856
0.128332 , 0.216 , 128.332 , 128.676332
0.128826 , 0.201 , 128.826 , 129.155826
0.129334 , 0.2 , 129.334 , 129.663334
0.129798 , 0.2 , 129.798 , 130.127798
0.130304 , 0.2 , 130.304 , 130.634304
0.130766 , 0.201 , 130.766 , 131.097766
0.131262 , 0.2 , 131.262 , 131.593262
0.131738 , 0.2 , 131.738 , 132.069738
0.132232 , 0.2 , 132.232 , 132.564232
0.132706 , 0.216 , 132.706 , 133.054706
0.1332 , 0.2 , 133.2 , 133.5332
0.133708 , 0.2 , 133.708 , 134.041708
0.134172 , 0.216 , 134.172 , 134.522172
0.149668 , 0.2 , 134.668 , 135.017668
0.135174 , 0.2 , 135.174 , 135.509174
0.135668 , 0.2 , 135.668 , 136.003668
0.136142 , 0.201 , 136.142 , 136.479142
0.136638 , 0.2 , 136.638 , 136.974638
0.137112 , 0.216 , 137.112 , 137.465112
0.153606 , 0.201 , 137.606 , 137.960606
0.138114 , 0.201 , 138.114 , 138.453114
0.138578 , 0.216 , 138.578 , 138.932578
0.139072 , 0.2 , 139.072 , 139.411072
0.139548 , 0.217 , 139.548 , 139.904548
0.140044 , 0.2 , 140.044 , 140.384044
0.140548 , 0.201 , 140.548 , 140.889548
0.141044 , 0.2 , 141.044 , 141.385044
0.141518 , 0.201 , 141.518 , 141.860518
0.142014 , 0.201 , 142.014 , 142.357014
0.14251 , 0.203 , 142.51 , 142.85551
0.142984 , 0.2 , 142.984 , 143.326984
0.143478 , 0.2 , 143.478 , 143.821478
0.143954 , 0.216 , 143.954 , 144.313954
0.159448 , 0.2 , 144.448 , 144.807448
0.144954 , 0.2 , 144.954 , 145.298954
0.145448 , 0.2 , 145.448 , 145.793448
0.145924 , 0.201 , 145.924 , 146.270924
0.14642 , 0.2 , 146.42 , 146.76642
0.146926 , 0.201 , 146.926 , 147.273926
0.14739 , 0.216 , 147.39 , 147.75339
0.147884 , 0.216 , 147.884 , 148.247884
0.148392 , 0.273 , 148.392 , 148.813392
0.149034 , 0.247 , 149.034 , 149.430034
0.149602 , 0.217 , 149.602 , 149.968602
0.150098 , 0.2 , 150.098 , 150.448098
0.150604 , 0.2 , 150.604 , 150.954604
0.151066 , 0.216 , 151.066 , 151.433066
0.151572 , 0.201 , 151.572 , 151.924572
0.152068 , 0.201 , 152.068 , 152.421068
0.152532 , 0.2 , 152.532 , 152.884532
0.153038 , 0.2 , 153.038 , 153.391038
0.153532 , 0.2 , 153.532 , 153.885532
0.154008 , 0.216 , 154.008 , 154.378008
0.154502 , 0.2 , 154.502 , 154.856502
0.155008 , 0.201 , 155.008 , 155.364008
0.155472 , 0.216 , 155.472 , 155.843472
0.155978 , 0.217 , 155.978 , 156.350978
0.156474 , 0.216 , 156.474 , 156.846474
0.156982 , 0.216 , 156.982 , 157.354982
0.15748 , 0.199 , 157.48 , 157.83648
0.157984 , 0.201 , 157.984 , 158.342984
0.158448 , 0.216 , 158.448 , 158.822448
0.158942 , 0.221 , 158.942 , 159.321942
0.15945 , 0.201 , 159.45 , 159.81045
0.159944 , 0.2 , 159.944 , 160.303944
0.16042 , 0.201 , 160.42 , 160.78142
0.160916 , 0.199 , 160.916 , 161.275916
0.16139 , 0.201 , 161.39 , 161.75239
0.161886 , 0.2 , 161.886 , 162.247886
0.162394 , 0.2 , 162.394 , 162.756394
0.162888 , 0.2 , 162.888 , 163.250888
0.163392 , 0.202 , 163.392 , 163.757392
0.16389 , 0.2 , 163.89 , 164.25389
0.164388 , 0.205 , 164.388 , 164.757388
0.16486 , 0.201 , 164.86 , 165.22586
0.165356 , 0.2 , 165.356 , 165.721356
0.16583 , 0.201 , 165.83 , 166.19683
0.166326 , 0.2 , 166.326 , 166.692326
0.16683 , 0.201 , 166.83 , 167.19783
0.167294 , 0.216 , 167.294 , 167.677294
0.167802 , 0.2 , 167.802 , 168.169802
0.168296 , 0.2 , 168.296 , 168.664296
0.168802 , 0.201 , 168.802 , 169.171802
0.169266 , 0.216 , 169.266 , 169.651266
0.169762 , 0.22 , 169.762 , 170.151762
0.170268 , 0.2 , 170.268 , 170.638268
0.170762 , 0.2 , 170.762 , 171.132762
0.171236 , 0.201 , 171.236 , 171.608236
0.171732 , 0.201 , 171.732 , 172.104732
0.172206 , 0.217 , 172.206 , 172.595206
0.172702 , 0.201 , 172.702 , 173.075702
0.17321 , 0.2 , 173.21 , 173.58321
0.173688 , 0.201 , 173.688 , 174.062688
0.174202 , 0.205 , 174.202 , 174.581202
0.174674 , 0.216 , 174.674 , 175.064674
0.17617 , 0.217 , 175.17 , 175.56317
0.175676 , 0.2 , 175.676 , 176.051676
0.17617 , 0.2 , 176.17 , 176.54617
0.176644 , 0.201 , 176.644 , 177.021644
0.17714 , 0.202 , 177.14 , 177.51914
0.177614 , 0.201 , 177.614 , 177.992614
0.19411 , 0.2 , 178.11 , 178.50411
0.178616 , 0.201 , 178.616 , 178.995616
0.17911 , 0.231 , 179.11 , 179.52011
0.179648 , 0.201 , 179.648 , 180.028648
0.180144 , 0.2 , 180.144 , 180.524144
0.18065 , 0.2 , 180.65 , 181.03065
0.181114 , 0.216 , 181.114 , 181.511114
0.18162 , 0.216 , 181.62 , 182.01762
0.182146 , 0.201 , 182.146 , 182.529146
0.182622 , 0.201 , 182.622 , 183.005622
0.183118 , 0.2 , 183.118 , 183.501118
0.183616 , 0.204 , 183.616 , 184.003616
0.184088 , 0.216 , 184.088 , 184.488088
0.184614 , 0.204 , 184.614 , 185.002614
0.185088 , 0.216 , 185.088 , 185.489088
0.185584 , 0.217 , 185.584 , 185.986584
0.18609 , 0.2 , 186.09 , 186.47609
0.186584 , 0.2 , 186.584 , 186.970584
0.18706 , 0.217 , 187.06 , 187.46406
0.187558 , 0.214 , 187.558 , 187.959558
0.188062 , 0.201 , 188.062 , 188.451062
0.188556 , 0.201 , 188.556 , 188.945556
0.189032 , 0.216 , 189.032 , 189.437032
0.189526 , 0.217 , 189.526 , 189.932526
0.190034 , 0.201 , 190.034 , 190.425034
0.19053 , 0.2 , 190.53 , 190.92053
0.19103 , 0.203 , 191.03 , 191.42403
0.1915 , 0.2 , 191.5 , 191.8915
0.191994 , 0.201 , 191.994 , 192.386994
0.19247 , 0.2 , 192.47 , 192.86247
0.192932 , 0.2 , 192.932 , 193.324932
0.193438 , 0.2 , 193.438 , 193.831438
0.193902 , 0.2 , 193.902 , 194.295902
0.194396 , 0.2 , 194.396 , 194.790396
0.19487 , 0.2 , 194.87 , 195.26487
