#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.021566 , 0.082 , 21.566 , 21.669566
0.02289 , 0.133 , 21.89 , 22.04589
0.02226 , 0.153 , 22.26 , 22.43526
0.022692 , 0.1 , 22.692 , 22.814692
0.022998 , 0.062 , 22.998 , 23.082998
0.023228 , 0.047 , 23.228 , 23.298228
0.02343 , 0.1 , 23.43 , 23.55343
0.023722 , 0.053 , 23.722 , 23.798722
0.023966 , 0.147 , 23.966 , 24.136966
0.024368 , 0.115 , 24.368 , 24.507368
0.024692 , 0.069 , 24.692 , 24.785692
0.024966 , 0.063 , 24.966 , 25.053966
0.025198 , 0.116 , 25.198 , 25.339198
0.025524 , 0.101 , 25.524 , 25.650524
0.025926 , 0.068 , 25.926 , 26.019926
0.026168 , 0.079 , 26.168 , 26.273168
0.026432 , 0.116 , 26.432 , 26.574432
0.02677 , 0.132 , 26.77 , 26.92877
0.027128 , 0.138 , 27.128 , 27.293128
0.027496 , 0.054 , 27.496 , 27.577496
0.027696 , 0.054 , 27.696 , 27.777696
0.027898 , 0.1 , 27.898 , 28.025898
0.028202 , 0.047 , 28.202 , 28.277202
0.028402 , 0.101 , 28.402 , 28.531402
0.028698 , 0.053 , 28.698 , 28.779698
0.028896 , 0.069 , 28.896 , 28.993896
0.029128 , 0.069 , 29.128 , 29.226128
0.02936 , 0.069 , 29.36 , 29.45836
0.029572 , 0.063 , 29.572 , 29.664572
0.029804 , 0.063 , 29.804 , 29.896804
0.030036 , 0.084 , 30.036 , 30.150036
0.030298 , 0.069 , 30.298 , 30.397298
0.03053 , 0.069 , 30.53 , 30.62953
0.030765 , 0.104 , 30.765 , 30.899765
0.031038 , 0.116 , 31.038 , 31.185038
0.031332 , 0.099 , 31.332 , 31.462332
0.031608 , 0.083 , 31.608 , 31.722608
0.031838 , 0.116 , 31.838 , 31.985838
0.047132 , 0.122 , 32.132 , 32.301132
0.048468 , 0.116 , 32.468 , 32.632468
0.032806 , 0.116 , 32.806 , 32.954806
0.033132 , 0.084 , 33.132 , 33.249132
0.033376 , 0.078 , 33.376 , 33.487376
0.049608 , 0.084 , 33.608 , 33.741608
0.033872 , 0.084 , 33.872 , 33.989872
0.034134 , 0.117 , 34.134 , 34.285134
0.03441 , 0.1 , 34.41 , 34.54441
0.034688 , 0.085 , 34.688 , 34.807688
0.034936 , 0.1 , 34.936 , 35.070936
0.03521 , 0.085 , 35.21 , 35.33021
0.035442 , 0.085 , 35.442 , 35.562442
0.035706 , 0.084 , 35.706 , 35.825706
0.035972 , 0.082 , 35.972 , 36.089972
0.036212 , 0.085 , 36.212 , 36.333212
0.036476 , 0.084 , 36.476 , 36.596476
0.036738 , 0.084 , 36.738 , 36.858738
0.036982 , 0.078 , 36.982 , 37.096982
0.053244 , 0.069 , 37.244 , 37.366244
0.037476 , 0.085 , 37.476 , 37.598476
0.037738 , 0.084 , 37.738 , 37.859738
0.037982 , 0.078 , 37.982 , 38.097982
0.038214 , 0.084 , 38.214 , 38.336214
0.038476 , 0.084 , 38.476 , 38.598476
0.038708 , 0.1 , 38.708 , 38.846708
0.038984 , 0.096 , 38.984 , 39.118984
0.039246 , 0.084 , 39.246 , 39.369246
0.039476 , 0.101 , 39.476 , 39.616476
0.03974 , 0.1 , 39.74 , 39.87974
0.040014 , 0.101 , 40.014 , 40.155014
0.040278 , 0.1 , 40.278 , 40.418278
0.04054 , 0.1 , 40.54 , 40.68054
0.040816 , 0.085 , 40.816 , 40.941816
0.041078 , 0.085 , 41.078 , 41.204078
0.04131 , 0.1 , 41.31 , 41.45131
0.042586 , 0.097 , 41.586 , 41.725586
0.041816 , 0.101 , 41.816 , 41.958816
0.04208 , 0.1 , 42.08 , 42.22208
0.042342 , 0.1 , 42.342 , 42.484342
0.042618 , 0.1 , 42.618 , 42.760618
0.042882 , 0.1 , 42.882 , 43.024882
0.043144 , 0.1 , 43.144 , 43.287144
0.043388 , 0.1 , 43.388 , 43.531388
0.04365 , 0.085 , 43.65 , 43.77865
0.043914 , 0.1 , 43.914 , 44.057914
0.04419 , 0.1 , 44.19 , 44.33419
0.044452 , 0.101 , 44.452 , 44.597452
0.044716 , 0.1 , 44.716 , 44.860716
0.04499 , 0.101 , 44.99 , 45.13599
0.045254 , 0.1 , 45.254 , 45.399254
0.045516 , 0.1 , 45.516 , 45.661516
0.047792 , 0.095 , 45.792 , 45.934792
0.046024 , 0.1 , 46.024 , 46.170024
0.046316 , 0.086 , 46.316 , 46.448316
0.04655 , 0.099 , 46.55 , 46.69555
0.046824 , 0.1 , 46.824 , 46.970824
0.047086 , 0.116 , 47.086 , 47.249086
0.047392 , 0.099 , 47.392 , 47.538392
0.047656 , 0.132 , 47.656 , 47.835656
0.047994 , 0.1 , 47.994 , 48.141994
0.048256 , 0.101 , 48.256 , 48.405256
0.04852 , 0.099 , 48.52 , 48.66752
0.048792 , 0.1 , 48.792 , 48.940792
0.049056 , 0.1 , 49.056 , 49.205056
0.049318 , 0.1 , 49.318 , 49.467318
0.05059 , 0.1 , 49.59 , 49.74059
0.049856 , 0.1 , 49.856 , 50.005856
0.050118 , 0.116 , 50.118 , 50.284118
0.050424 , 0.148 , 50.424 , 50.622424
0.050794 , 0.1 , 50.794 , 50.944794
0.051058 , 0.116 , 51.058 , 51.225058
0.051352 , 0.1 , 51.352 , 51.503352
0.05163 , 0.098 , 51.63 , 51.77963
0.05192 , 0.101 , 51.92 , 52.07292
0.053196 , 0.097 , 52.196 , 52.346196
0.052458 , 0.084 , 52.458 , 52.594458
0.052688 , 0.101 , 52.688 , 52.841688
0.052952 , 0.1 , 52.952 , 53.104952
0.053228 , 0.084 , 53.228 , 53.365228
0.05349 , 0.085 , 53.49 , 53.62849
0.053722 , 0.1 , 53.722 , 53.875722
0.053996 , 0.1 , 53.996 , 54.149996
0.05426 , 0.1 , 54.26 , 54.41426
0.054524 , 0.1 , 54.524 , 54.678524
0.054794 , 0.099 , 54.794 , 54.947794
0.05503 , 0.1 , 55.03 , 55.18503
0.055292 , 0.116 , 55.292 , 55.463292
0.055588 , 0.101 , 55.588 , 55.744588
0.055832 , 0.115 , 55.832 , 56.002832
0.056124 , 0.101 , 56.124 , 56.281124
0.056398 , 0.1 , 56.398 , 56.554398
0.056662 , 0.101 , 56.662 , 56.819662
0.056926 , 0.116 , 56.926 , 57.098926
0.057202 , 0.115 , 57.202 , 57.374202
0.057494 , 0.101 , 57.494 , 57.652494
0.057758 , 0.1 , 57.758 , 57.915758
0.058034 , 0.115 , 58.034 , 58.207034
0.058326 , 0.101 , 58.326 , 58.485326
0.058596 , 0.081 , 58.596 , 58.735596
0.058834 , 0.1 , 58.834 , 58.992834
0.059096 , 0.101 , 59.096 , 59.256096
0.05936 , 0.1 , 59.36 , 59.51936
0.059634 , 0.085 , 59.634 , 59.778634
0.059898 , 0.1 , 59.898 , 60.057898
0.07616 , 0.084 , 60.16 , 60.32016
0.060404 , 0.098 , 60.404 , 60.562404
0.060666 , 0.085 , 60.666 , 60.811666
0.060898 , 0.1 , 60.898 , 61.058898
0.06116 , 0.085 , 61.16 , 61.30616
0.061404 , 0.1 , 61.404 , 61.565404
0.061668 , 0.084 , 61.668 , 61.813668
0.061914 , 0.085 , 61.914 , 62.060914
0.062162 , 0.1 , 62.162 , 62.324162
0.062406 , 0.1 , 62.406 , 62.568406
0.06267 , 0.1 , 62.67 , 62.83267
0.062932 , 0.085 , 62.932 , 63.079932
0.063201 , 0.103 , 63.201 , 63.367201
0.06347 , 0.1 , 63.47 , 63.63347
0.063732 , 0.1 , 63.732 , 63.895732
0.065008 , 0.098 , 64.008 , 64.171008
0.064272 , 0.084 , 64.272 , 64.420272
0.064534 , 0.085 , 64.534 , 64.683534
0.064798 , 0.084 , 64.798 , 64.946798
0.065042 , 0.1 , 65.042 , 65.207042
0.065304 , 0.101 , 65.304 , 65.470304
0.065568 , 0.1 , 65.568 , 65.733568
0.065844 , 0.1 , 65.844 , 66.009844
0.066106 , 0.1 , 66.106 , 66.272106
0.066368 , 0.117 , 66.368 , 66.551368
0.066644 , 0.115 , 66.644 , 66.825644
0.066938 , 0.1 , 66.938 , 67.104938
0.067214 , 0.1 , 67.214 , 67.381214
0.067476 , 0.101 , 67.476 , 67.644476
0.06777 , 0.084 , 67.77 , 67.92177
0.068014 , 0.1 , 68.014 , 68.182014
0.068278 , 0.1 , 68.278 , 68.446278
0.06854 , 0.1 , 68.54 , 68.70854
0.069814 , 0.097 , 68.814 , 68.980814
0.069078 , 0.084 , 69.078 , 69.231078
0.06934 , 0.085 , 69.34 , 69.49434
0.069612 , 0.102 , 69.612 , 69.783612
0.06991 , 0.085 , 69.91 , 70.06491
0.070174 , 0.085 , 70.174 , 70.329174
0.070418 , 0.1 , 70.418 , 70.588418
0.070682 , 0.084 , 70.682 , 70.836682
0.070944 , 0.085 , 70.944 , 71.099944
0.071176 , 0.1 , 71.176 , 71.347176
0.07145 , 0.09 , 71.45 , 71.61145
0.071692 , 0.095 , 71.692 , 71.858692
0.071944 , 0.1 , 71.944 , 72.115944
0.07222 , 0.1 , 72.22 , 72.39222
0.072482 , 0.085 , 72.482 , 72.639482
0.072714 , 0.1 , 72.714 , 72.886714
0.072976 , 0.1 , 72.976 , 73.148976
0.073252 , 0.1 , 73.252 , 73.425252
0.073516 , 0.099 , 73.516 , 73.688516
0.073778 , 0.099 , 73.778 , 73.950778
0.074052 , 0.085 , 74.052 , 74.211052
0.074286 , 0.1 , 74.286 , 74.460286
0.074548 , 0.1 , 74.548 , 74.722548
0.074822 , 0.1 , 74.822 , 74.996822
0.075086 , 0.1 , 75.086 , 75.261086
0.075348 , 0.084 , 75.348 , 75.507348
0.07558 , 0.099 , 75.58 , 75.75458
0.075854 , 0.101 , 75.854 , 76.030854
0.076118 , 0.1 , 76.118 , 76.294118
0.07638 , 0.101 , 76.38 , 76.55738
0.076624 , 0.1 , 76.624 , 76.800624
0.076886 , 0.1 , 76.886 , 77.062886
0.07715 , 0.099 , 77.15 , 77.32615
0.077424 , 0.1 , 77.424 , 77.601424
0.077686 , 0.101 , 77.686 , 77.864686
0.07795 , 0.1 , 77.95 , 78.12795
0.078218 , 0.098 , 78.218 , 78.394218
0.078456 , 0.101 , 78.456 , 78.635456
0.07872 , 0.084 , 78.72 , 78.88272
0.079016 , 0.083 , 79.016 , 79.178016
0.079258 , 0.1 , 79.258 , 79.437258
0.079552 , 0.085 , 79.552 , 79.716552
0.079824 , 0.101 , 79.824 , 80.004824
0.080122 , 0.1 , 80.122 , 80.302122
0.080384 , 0.084 , 80.384 , 80.548384
0.080628 , 0.1 , 80.628 , 80.808628
0.08089 , 0.1 , 80.89 , 81.07089
0.081152 , 0.101 , 81.152 , 81.334152
0.081428 , 0.1 , 81.428 , 81.609428
0.081692 , 0.099 , 81.692 , 81.872692
0.081954 , 0.1 , 81.954 , 82.135954
0.082226 , 0.095 , 82.226 , 82.403226
0.08246 , 0.1 , 82.46 , 82.64246
0.082722 , 0.1 , 82.722 , 82.904722
0.082986 , 0.1 , 82.986 , 83.168986
0.08326 , 0.101 , 83.26 , 83.44426
0.098524 , 0.085 , 83.524 , 83.707524
0.083788 , 0.084 , 83.788 , 83.955788
0.084032 , 0.1 , 84.032 , 84.216032
