#Qurey Time, Memory allocation , I/O Time , Total
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.016 , 0.084 , 0 , 0.1
0 , 0.169 , 0 , 0.169
0 , 0.169 , 0 , 0.169
0.001 , 0.103 , 0 , 0.104
0.001 , 0.103 , 0 , 0.104
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.153 , 0 , 0.153
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.121 , 0 , 0.121
0 , 0.137 , 0 , 0.137
0 , 0.137 , 0 , 0.137
0 , 0 , 0 , 0
0 , 0.138 , 0 , 0.138
0 , 0.153 , 0 , 0.153
0 , 0.153 , 0 , 0.153
0 , 0.153 , 0 , 0.153
0 , 0.153 , 0 , 0.153
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.138 , 0 , 0.138
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0.016 , 0.136 , 0 , 0.152
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.137 , 0 , 0.137
0 , 0.123 , 0 , 0.123
0 , 0.123 , 0 , 0.123
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.147 , 0 , 0.147
0 , 0 , 0 , 0
0 , 0.132 , 0 , 0.132
0 , 0.132 , 0 , 0.132
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.121 , 0 , 0.121
0 , 0 , 0 , 0
0 , 0.169 , 0 , 0.169
0 , 0.148 , 0 , 0.148
0 , 0.148 , 0 , 0.148
0 , 0.122 , 0 , 0.122
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0 , 0.121 , 0 , 0.121
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.138 , 0 , 0.138
0 , 0.138 , 0 , 0.138
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0.001 , 0.133 , 0 , 0.134
0.001 , 0.133 , 0 , 0.134
0 , 0 , 0 , 0
0 , 0.135 , 0 , 0.135
0 , 0.168 , 0 , 0.168
0 , 0.168 , 0 , 0.168
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.216 , 0 , 0.216
0 , 0 , 0 , 0
0 , 0.121 , 0 , 0.121
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.106 , 0 , 0.106
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.106 , 0 , 0.106
0 , 0.106 , 0 , 0.106
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.147 , 0 , 0.147
0 , 0 , 0 , 0
0.001 , 0.149 , 0 , 0.15
0 , 0 , 0 , 0
0 , 0.132 , 0 , 0.132
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.132 , 0 , 0.132
0 , 0.132 , 0 , 0.132
0 , 0 , 0 , 0
0 , 0.105 , 0 , 0.105
0 , 0.104 , 0 , 0.104
