#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.02226 , 0.1 , 22.26 , 22.38226
0.022618 , 0.116 , 22.618 , 22.756618
0.023924 , 0.083 , 22.924 , 23.030924
0.023156 , 0.131 , 23.156 , 23.310156
0.023494 , 0.084 , 23.494 , 23.601494
0.023788 , 0.084 , 23.788 , 23.895788
0.02405 , 0.085 , 24.05 , 24.15905
0.024326 , 0.101 , 24.326 , 24.451326
0.02462 , 0.069 , 24.62 , 24.71362
0.024852 , 0.069 , 24.852 , 24.945852
0.025096 , 0.063 , 25.096 , 25.184096
0.025296 , 0.078 , 25.296 , 25.399296
0.025542 , 0.069 , 25.542 , 25.636542
0.02579 , 0.099 , 25.79 , 25.91479
0.026052 , 0.068 , 26.052 , 26.146052
0.026296 , 0.098 , 26.296 , 26.420296
0.026558 , 0.1 , 26.558 , 26.684558
0.026884 , 0.083 , 26.884 , 26.993884
0.02713 , 0.13 , 27.13 , 27.28713
0.027487 , 0.104 , 27.487 , 27.618487
0.02779 , 0.085 , 27.79 , 27.90279
0.028054 , 0.099 , 28.054 , 28.181054
0.028328 , 0.1 , 28.328 , 28.456328
0.028622 , 0.1 , 28.622 , 28.750622
0.028896 , 0.101 , 28.896 , 29.025896
0.02916 , 0.1 , 29.16 , 29.28916
0.029422 , 0.1 , 29.422 , 29.551422
0.029698 , 0.1 , 29.698 , 29.827698
0.029992 , 0.1 , 29.992 , 30.121992
0.03029 , 0.103 , 30.29 , 30.42329
0.030592 , 0.116 , 30.592 , 30.738592
0.0309 , 0.115 , 30.9 , 31.0459
0.031224 , 0.116 , 31.224 , 31.371224
0.03153 , 0.116 , 31.53 , 31.67753
0.031826 , 0.115 , 31.826 , 31.972826
0.03213 , 0.116 , 32.13 , 32.27813
0.032426 , 0.115 , 32.426 , 32.573426
0.032732 , 0.131 , 32.732 , 32.895732
0.033056 , 0.138 , 33.056 , 33.227056
0.034426 , 0.132 , 33.426 , 33.592426
0.033748 , 0.115 , 33.748 , 33.896748
0.034056 , 0.122 , 34.056 , 34.212056
0.034394 , 0.116 , 34.394 , 34.544394
0.034702 , 0.13 , 34.702 , 34.866702
0.035026 , 0.137 , 35.026 , 35.198026
0.035362 , 0.132 , 35.362 , 35.529362
0.035702 , 0.115 , 35.702 , 35.852702
0.035994 , 0.132 , 35.994 , 36.161994
