#Qurey Time, Memory allocation , I/O Time , Total
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.184 , 0 , 0.184
0 , 0.184 , 0 , 0.184
0 , 0 , 0 , 0
0 , 0.153 , 0 , 0.153
0 , 0 , 0 , 0
0 , 0.138 , 0 , 0.138
0 , 0.238 , 0 , 0.238
0 , 0.238 , 0 , 0.238
0.015 , 0.131 , 0 , 0.146
0 , 0 , 0 , 0
0 , 0.154 , 0 , 0.154
0 , 0.154 , 0 , 0.154
0 , 0 , 0 , 0
0 , 0.138 , 0 , 0.138
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.121 , 0 , 0.121
0 , 0.121 , 0 , 0.121
0 , 0 , 0 , 0
0 , 0.068 , 0 , 0.068
0 , 0 , 0 , 0
0 , 0.068 , 0 , 0.068
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0 , 0 , 0
0 , 0.038 , 0 , 0.038
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0.016 , 0.047 , 0 , 0.063
0 , 0.069 , 0 , 0.069
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.2 , 0 , 0.2
0 , 0.2 , 0 , 0.2
0 , 0.068 , 0 , 0.068
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.054 , 0 , 0.054
0 , 0 , 0 , 0
0 , 0.068 , 0 , 0.068
0 , 0 , 0 , 0
0 , 0.069 , 0 , 0.069
0 , 0 , 0 , 0
0 , 0.046 , 0 , 0.046
0 , 0.052 , 0 , 0.052
0 , 0.052 , 0 , 0.052
0 , 0 , 0 , 0
0 , 0.052 , 0 , 0.052
0 , 0 , 0 , 0
0 , 0.038 , 0 , 0.038
0 , 0 , 0 , 0
0 , 0.037 , 0 , 0.037
0 , 0.053 , 0 , 0.053
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0.052 , 0 , 0.052
0 , 0 , 0 , 0
0.001 , 0.052 , 0 , 0.053
0.001 , 0.052 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.054 , 0 , 0.054
0 , 0 , 0 , 0
0 , 0.062 , 0 , 0.062
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0.015 , 0.038 , 0 , 0.053
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0 , 0 , 0
0 , 0.052 , 0 , 0.052
0 , 0.053 , 0 , 0.053
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0.052 , 0 , 0.052
0.001 , 0.052 , 0 , 0.053
0 , 0.053 , 0 , 0.053
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.048 , 0 , 0.048
0 , 0.052 , 0 , 0.052
0 , 0.052 , 0 , 0.052
0 , 0 , 0 , 0
0 , 0.068 , 0 , 0.068
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.038 , 0 , 0.038
0 , 0.038 , 0 , 0.038
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.054 , 0 , 0.054
0.015 , 0.037 , 0 , 0.052
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.138 , 0 , 0.138
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0 , 0 , 0
0.001 , 0.064 , 0 , 0.065
0 , 0 , 0 , 0
0 , 0.052 , 0 , 0.052
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0.054 , 0 , 0.054
0 , 0.054 , 0 , 0.054
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0 , 0.047 , 0 , 0.047
0 , 0.047 , 0 , 0.047
0 , 0 , 0 , 0
