#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.02325 , 0.1 , 23.25 , 23.37325
0.023574 , 0.085 , 23.574 , 23.682574
0.02385 , 0.132 , 23.85 , 24.00585
0.024218 , 0.148 , 24.218 , 24.390218
0.02462 , 0.1 , 24.62 , 24.74462
0.024914 , 0.115 , 24.914 , 25.053914
0.02522 , 0.116 , 25.22 , 25.36122
0.025546 , 0.131 , 25.546 , 25.702546
0.025884 , 0.115 , 25.884 , 26.024884
0.026222 , 0.078 , 26.222 , 26.326222
0.026484 , 0.085 , 26.484 , 26.595484
0.026748 , 0.084 , 26.748 , 26.858748
0.027022 , 0.101 , 27.022 , 27.150022
0.027318 , 0.084 , 27.318 , 27.429318
0.027656 , 0.084 , 27.656 , 27.767656
0.02798 , 0.069 , 27.98 , 28.07698
0.04322 , 0.065 , 28.22 , 28.32822
0.028456 , 0.047 , 28.456 , 28.531456
0.028656 , 0.046 , 28.656 , 28.730656
0.028856 , 0.079 , 28.856 , 28.963856
0.029088 , 0.046 , 29.088 , 29.163088
0.029288 , 0.084 , 29.288 , 29.401288
0.02955 , 0.069 , 29.55 , 29.64855
0.030782 , 0.121 , 29.782 , 29.933782
0.03009 , 0.068 , 30.09 , 30.18809
0.03032 , 0.132 , 30.32 , 30.48232
0.03069 , 0.1 , 30.69 , 30.82069
0.030984 , 0.1 , 30.984 , 31.114984
0.03129 , 0.066 , 31.29 , 31.38729
0.031522 , 0.069 , 31.522 , 31.622522
0.031786 , 0.052 , 31.786 , 31.869786
0.031984 , 0.085 , 31.984 , 32.100984
0.032292 , 0.048 , 32.292 , 32.372292
0.032522 , 0.069 , 32.522 , 32.623522
0.032786 , 0.068 , 32.786 , 32.886786
0.03306 , 0.084 , 33.06 , 33.17706
0.033354 , 0.084 , 33.354 , 33.471354
0.033622 , 0.05 , 33.622 , 33.705622
0.033824 , 0.049 , 33.824 , 33.906824
0.033986 , 0.068 , 33.986 , 34.087986
0.034186 , 0.056 , 34.186 , 34.276186
0.03439 , 0.051 , 34.39 , 34.47539
0.034586 , 0.038 , 34.586 , 34.658586
0.034756 , 0.053 , 34.756 , 34.843756
0.034956 , 0.053 , 34.956 , 35.043956
0.035156 , 0.069 , 35.156 , 35.260156
0.035356 , 0.069 , 35.356 , 35.460356
0.035556 , 0.054 , 35.556 , 35.645556
0.035758 , 0.053 , 35.758 , 35.846758
0.035958 , 0.053 , 35.958 , 36.046958
0.036126 , 0.053 , 36.126 , 36.215126
0.036326 , 0.053 , 36.326 , 36.415326
0.036526 , 0.053 , 36.526 , 36.615526
