#Qurey Time, Memory allocation , I/O Time , Total
0 , 0.063 , 0 , 0.063
0 , 0.063 , 0 , 0.063
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0.001 , 0.063 , 0 , 0.064
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.05 , 0 , 0.05
0 , 0.052 , 0 , 0.052
0 , 0.062 , 0 , 0.062
0.015 , 0.047 , 0 , 0.062
0.016 , 0.122 , 0 , 0.138
0.016 , 0.122 , 0 , 0.138
0 , 0 , 0 , 0
0 , 0.169 , 0 , 0.169
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.063 , 0 , 0.063
0 , 0 , 0 , 0
0 , 0.069 , 0 , 0.069
0 , 0 , 0 , 0
0 , 0.062 , 0 , 0.062
0 , 0 , 0 , 0
0 , 0.119 , 0 , 0.119
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0.001 , 0.131 , 0 , 0.132
0.001 , 0.131 , 0 , 0.132
0 , 0 , 0 , 0
0.001 , 0.133 , 0 , 0.134
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.015 , 0.132 , 0 , 0.147
0 , 0 , 0 , 0
0 , 0.132 , 0 , 0.132
0 , 0.132 , 0 , 0.132
0 , 0 , 0 , 0
0.001 , 0.079 , 0 , 0.08
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.016 , 0.084 , 0 , 0.1
0.016 , 0.099 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.122 , 0 , 0.122
0 , 0.121 , 0 , 0.121
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0.169 , 0 , 0.169
0 , 0.169 , 0 , 0.169
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.137 , 0 , 0.137
0 , 0.137 , 0 , 0.137
0 , 0 , 0 , 0
0 , 0.121 , 0 , 0.121
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.015 , 0.101 , 0 , 0.116
0 , 0.152 , 0 , 0.152
0 , 0.152 , 0 , 0.152
0 , 0.121 , 0 , 0.121
0 , 0.121 , 0 , 0.121
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.138 , 0 , 0.138
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0.001 , 0.12 , 0 , 0.121
0.001 , 0.12 , 0 , 0.121
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0.016 , 0.1 , 0 , 0.116
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.118 , 0 , 0.118
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0.104 , 0 , 0.104
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.132 , 0 , 0.132
0 , 0.132 , 0 , 0.132
0 , 0.132 , 0 , 0.132
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.107 , 0 , 0.107
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0.122 , 0 , 0.122
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.015 , 0.1 , 0 , 0.115
0 , 0.122 , 0 , 0.122
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0.015 , 0.117 , 0 , 0.132
0.015 , 0.117 , 0 , 0.132
0 , 0.122 , 0 , 0.122
0 , 0.122 , 0 , 0.122
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.103 , 0 , 0.103
0 , 0.102 , 0 , 0.102
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0.015 , 0.095 , 0 , 0.11
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.106 , 0 , 0.106
0 , 0.105 , 0 , 0.105
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.099 , 0 , 0.099
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0.015 , 0.085 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.138 , 0 , 0.138
0 , 0.138 , 0 , 0.138
0 , 0.138 , 0 , 0.138
0 , 0.138 , 0 , 0.138
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.083 , 0 , 0.083
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.099 , 0 , 0.099
0 , 0.099 , 0 , 0.099
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.105 , 0 , 0.105
0 , 0.105 , 0 , 0.105
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.12 , 0 , 0.12
0 , 0.12 , 0 , 0.12
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.099 , 0 , 0.099
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.12 , 0 , 0.12
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0.016 , 0.099 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.107 , 0 , 0.107
0 , 0.106 , 0 , 0.106
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.169 , 0 , 0.169
0 , 0.169 , 0 , 0.169
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
