#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 28.182 , 28.182
0 , 0 , 28.182 , 28.182
0 , 0 , 28.182 , 28.182
0 , 0 , 28.212 , 28.212
0 , 0 , 28.212 , 28.212
0 , 0 , 28.212 , 28.212
0 , 0 , 28.212 , 28.212
0 , 0 , 28.212 , 28.212
0.002 , 0 , 28.244 , 28.246
0.002 , 0 , 28.252 , 28.254
0 , 0 , 28.256 , 28.256
0 , 0 , 28.256 , 28.256
0.016 , 0 , 28.256 , 28.272
0 , 0 , 28.288 , 28.288
0 , 0 , 28.288 , 28.288
0 , 0 , 28.288 , 28.288
0 , 0 , 28.288 , 28.288
0 , 0 , 28.318 , 28.318
0 , 0 , 28.318 , 28.318
0 , 0 , 28.382 , 28.382
0 , 0 , 28.412 , 28.412
0.001 , 0.016 , 28.412 , 28.429
0.001 , 0 , 28.453 , 28.454
0 , 0 , 28.456 , 28.456
0 , 0 , 28.456 , 28.456
0 , 0 , 28.488 , 28.488
0 , 0 , 28.488 , 28.488
0 , 0 , 28.52 , 28.52
0 , 0 , 28.55 , 28.55
0 , 0 , 28.582 , 28.582
0 , 0 , 28.582 , 28.582
0 , 0 , 28.614 , 28.614
0 , 0 , 28.614 , 28.614
0.001 , 0.015 , 28.614 , 28.63
0 , 0 , 28.652 , 28.653
0 , 0 , 28.658 , 28.658
0 , 0 , 28.658 , 28.658
0 , 0 , 28.658 , 28.658
0 , 0 , 28.688 , 28.688
0 , 0 , 28.688 , 28.688
0 , 0 , 28.72 , 28.72
0 , 0 , 28.72 , 28.72
0 , 0 , 28.736 , 28.736
0 , 0 , 28.752 , 28.752
0 , 0 , 28.752 , 28.752
0 , 0 , 28.752 , 28.752
0 , 0 , 28.782 , 28.782
0 , 0 , 28.782 , 28.782
0 , 0 , 28.782 , 28.782
0 , 0 , 28.782 , 28.782
0 , 0 , 28.814 , 28.814
0 , 0 , 28.814 , 28.814
0 , 0 , 28.814 , 28.814
0.001 , 0 , 28.848 , 28.849
0 , 0 , 28.857 , 28.857
0 , 0 , 28.858 , 28.858
0 , 0 , 28.858 , 28.858
0 , 0 , 28.858 , 28.858
0 , 0 , 28.888 , 28.888
0 , 0 , 28.888 , 28.888
0 , 0 , 28.888 , 28.888
0 , 0 , 28.92 , 28.92
0 , 0 , 28.92 , 28.92
0 , 0 , 28.92 , 28.92
0 , 0 , 28.952 , 28.952
0 , 0 , 28.952 , 28.952
0 , 0 , 28.952 , 28.952
0 , 0 , 28.982 , 28.982
0 , 0 , 28.982 , 28.982
0 , 0 , 28.982 , 28.982
0 , 0 , 29.014 , 29.014
0 , 0 , 29.014 , 29.014
0 , 0 , 29.014 , 29.014
0.001 , 0 , 29.05 , 29.051
0 , 0 , 29.058 , 29.058
0 , 0 , 29.058 , 29.058
0 , 0 , 29.058 , 29.058
0 , 0 , 29.09 , 29.09
0 , 0 , 29.09 , 29.09
0.015 , 0 , 29.09 , 29.105
0 , 0 , 29.12 , 29.12
0 , 0 , 29.12 , 29.12
0 , 0 , 29.152 , 29.152
0 , 0 , 29.152 , 29.152
0 , 0 , 29.152 , 29.152
0 , 0 , 29.182 , 29.182
0 , 0 , 29.182 , 29.182
0 , 0 , 29.214 , 29.214
0 , 0 , 29.214 , 29.214
0 , 0 , 29.214 , 29.214
0 , 0 , 29.256 , 29.256
0 , 0 , 29.29 , 29.29
0 , 0 , 29.29 , 29.29
0 , 0 , 29.29 , 29.29
0 , 0 , 29.322 , 29.322
0 , 0 , 29.322 , 29.322
0 , 0 , 29.352 , 29.352
0 , 0 , 29.352 , 29.352
0 , 0 , 29.384 , 29.384
0 , 0 , 29.384 , 29.384
0 , 0 , 29.414 , 29.414
0 , 0 , 29.414 , 29.414
0.001 , 0.016 , 29.414 , 29.431
0 , 0 , 29.458 , 29.458
0 , 0 , 29.458 , 29.458
0 , 0 , 29.458 , 29.458
0 , 0 , 29.49 , 29.49
0.015 , 0 , 29.49 , 29.505
0 , 0 , 29.52 , 29.52
0 , 0 , 29.52 , 29.52
0 , 0 , 29.552 , 29.552
0 , 0 , 29.552 , 29.552
0 , 0 , 29.584 , 29.584
0 , 0 , 29.584 , 29.584
0 , 0 , 29.614 , 29.614
0 , 0 , 29.614 , 29.614
0 , 0 , 29.658 , 29.658
0 , 0 , 29.658 , 29.658
0 , 0 , 29.674 , 29.674
0 , 0 , 29.69 , 29.69
0 , 0 , 29.722 , 29.722
0 , 0 , 29.722 , 29.722
0 , 0 , 29.752 , 29.752
0 , 0 , 29.752 , 29.752
0 , 0 , 29.784 , 29.784
0 , 0 , 29.784 , 29.784
0 , 0 , 29.816 , 29.816
0 , 0 , 29.816 , 29.816
0 , 0 , 29.856 , 29.856
0 , 0 , 29.858 , 29.858
0 , 0 , 29.89 , 29.89
0 , 0 , 29.89 , 29.89
0 , 0 , 29.922 , 29.922
0 , 0 , 29.922 , 29.922
0 , 0 , 29.952 , 29.952
0 , 0 , 29.952 , 29.952
0 , 0 , 29.984 , 29.984
0.015 , 0 , 29.984 , 29.999
0 , 0 , 30.014 , 30.014
0.001 , 0 , 30.05 , 30.051
0 , 0 , 30.06 , 30.06
0 , 0 , 30.06 , 30.06
0 , 0 , 30.09 , 30.09
0 , 0 , 30.122 , 30.122
0 , 0 , 30.122 , 30.122
0 , 0 , 30.152 , 30.152
0 , 0 , 30.152 , 30.152
0 , 0 , 30.184 , 30.184
0 , 0 , 30.216 , 30.216
0 , 0 , 30.216 , 30.216
0 , 0 , 30.258 , 30.258
0 , 0 , 30.258 , 30.258
0 , 0 , 30.29 , 30.29
0 , 0 , 30.29 , 30.29
0 , 0 , 30.322 , 30.322
0 , 0 , 30.352 , 30.352
0 , 0 , 30.352 , 30.352
0 , 0 , 30.384 , 30.384
0 , 0 , 30.416 , 30.416
0 , 0 , 30.416 , 30.416
0 , 0 , 30.458 , 30.458
0 , 0 , 30.458 , 30.458
0 , 0 , 30.49 , 30.49
0 , 0 , 30.522 , 30.522
0 , 0 , 30.522 , 30.522
0 , 0 , 30.552 , 30.552
0 , 0 , 30.584 , 30.584
0 , 0 , 30.584 , 30.584
0 , 0 , 30.614 , 30.614
0 , 0.001 , 30.65 , 30.651
0 , 0 , 30.658 , 30.658
0 , 0 , 30.69 , 30.69
0 , 0 , 30.69 , 30.69
0 , 0 , 30.72 , 30.72
0 , 0 , 30.752 , 30.752
0 , 0 , 30.752 , 30.752
0 , 0 , 30.784 , 30.784
0 , 0 , 30.814 , 30.814
0.001 , 0 , 30.848 , 30.849
0 , 0 , 30.858 , 30.858
0 , 0 , 30.89 , 30.89
0 , 0 , 30.89 , 30.89
0 , 0 , 30.922 , 30.922
0 , 0 , 30.952 , 30.952
0 , 0 , 30.984 , 30.984
0 , 0 , 30.984 , 30.984
0 , 0 , 31.016 , 31.016
0 , 0 , 31.054 , 31.054
0 , 0 , 31.06 , 31.06
0 , 0 , 31.09 , 31.09
0 , 0 , 31.122 , 31.122
0 , 0 , 31.122 , 31.122
0 , 0 , 31.154 , 31.154
0 , 0 , 31.184 , 31.184
0 , 0 , 31.216 , 31.216
0.015 , 0 , 31.216 , 31.231
0 , 0 , 31.26 , 31.26
0 , 0 , 31.29 , 31.29
0 , 0 , 31.29 , 31.29
0 , 0 , 31.322 , 31.322
0 , 0 , 31.352 , 31.352
0 , 0 , 31.384 , 31.384
0 , 0 , 31.416 , 31.416
0 , 0 , 31.416 , 31.416
0 , 0 , 31.458 , 31.458
0 , 0 , 31.49 , 31.49
0 , 0 , 31.49 , 31.49
0 , 0 , 31.522 , 31.522
0 , 0 , 31.552 , 31.552
0 , 0 , 31.584 , 31.584
0 , 0 , 31.616 , 31.616
0 , 0 , 31.616 , 31.616
0 , 0 , 31.658 , 31.658
0 , 0 , 31.69 , 31.69
0 , 0 , 31.72 , 31.72
0 , 0 , 31.72 , 31.72
0 , 0 , 31.752 , 31.752
0 , 0 , 31.784 , 31.784
0 , 0 , 31.814 , 31.814
0 , 0 , 31.86 , 31.86
0 , 0 , 31.86 , 31.86
0 , 0 , 31.89 , 31.89
0 , 0 , 31.922 , 31.922
0 , 0 , 31.952 , 31.952
0 , 0 , 31.984 , 31.984
0 , 0 , 32.016 , 32.016
0.001 , 0 , 32.05 , 32.051
0 , 0 , 32.06 , 32.06
0 , 0 , 32.09 , 32.09
0 , 0 , 32.122 , 32.122
0 , 0 , 32.154 , 32.154
0 , 0 , 32.184 , 32.184
0 , 0 , 32.216 , 32.216
0 , 0 , 32.216 , 32.216
0 , 0 , 32.26 , 32.26
0 , 0 , 32.292 , 32.292
0 , 0 , 32.322 , 32.322
0 , 0 , 32.354 , 32.354
0 , 0 , 32.386 , 32.386
0 , 0 , 32.416 , 32.416
0.001 , 0 , 32.452 , 32.453
0 , 0 , 32.46 , 32.46
0 , 0 , 32.492 , 32.492
0 , 0 , 32.522 , 32.522
0 , 0 , 32.554 , 32.554
0 , 0 , 32.584 , 32.584
0 , 0 , 32.616 , 32.616
0 , 0 , 32.66 , 32.66
0 , 0 , 32.69 , 32.69
0 , 0 , 32.722 , 32.722
0 , 0 , 32.754 , 32.754
0 , 0 , 32.784 , 32.784
0 , 0 , 32.816 , 32.816
0 , 0 , 32.816 , 32.816
0 , 0 , 32.86 , 32.86
0 , 0 , 32.892 , 32.892
0 , 0 , 32.922 , 32.922
0 , 0 , 32.954 , 32.954
0 , 0 , 32.986 , 32.986
0 , 0 , 33.016 , 33.016
0 , 0 , 33.06 , 33.06
0 , 0 , 33.092 , 33.092
0 , 0 , 33.122 , 33.122
0 , 0 , 33.154 , 33.154
0 , 0 , 33.184 , 33.184
0 , 0 , 33.216 , 33.216
0 , 0 , 33.259 , 33.259
0 , 0 , 33.29 , 33.29
0 , 0 , 33.322 , 33.322
0 , 0 , 33.354 , 33.354
0 , 0 , 33.384 , 33.384
0 , 0 , 33.416 , 33.416
0.001 , 0 , 33.456 , 33.457
0 , 0 , 33.46 , 33.46
0.015 , 0 , 33.492 , 33.507
0 , 0 , 33.554 , 33.554
0 , 0 , 33.586 , 33.586
0 , 0 , 33.616 , 33.616
0.001 , 0 , 33.655 , 33.656
0 , 0 , 33.66 , 33.66
0 , 0 , 33.708 , 33.708
0 , 0 , 33.754 , 33.754
0 , 0 , 33.786 , 33.786
0 , 0 , 33.818 , 33.818
0.001 , 0 , 33.858 , 33.859
0 , 0 , 33.876 , 33.876
0 , 0 , 33.922 , 33.922
0 , 0 , 33.954 , 33.954
0 , 0 , 33.986 , 33.986
0 , 0 , 34.016 , 34.016
0 , 0 , 34.06 , 34.06
0 , 0 , 34.092 , 34.092
0 , 0 , 34.124 , 34.124
0 , 0 , 34.154 , 34.154
0 , 0 , 34.186 , 34.186
0 , 0 , 34.218 , 34.218
0 , 0 , 34.262 , 34.262
0 , 0 , 34.292 , 34.292
0 , 0 , 34.324 , 34.324
0 , 0 , 34.356 , 34.356
0 , 0 , 34.386 , 34.386
0 , 0 , 34.418 , 34.418
0 , 0 , 34.462 , 34.462
0 , 0 , 34.494 , 34.494
0 , 0 , 34.524 , 34.524
0 , 0 , 34.588 , 34.588
0 , 0 , 34.618 , 34.618
0 , 0.001 , 34.66 , 34.661
0 , 0 , 34.694 , 34.694
0 , 0 , 34.726 , 34.726
0 , 0 , 34.756 , 34.756
0 , 0 , 34.788 , 34.788
0 , 0 , 34.82 , 34.82
0 , 0 , 34.862 , 34.862
0 , 0 , 34.894 , 34.894
0 , 0 , 34.926 , 34.926
0.016 , 0 , 34.956 , 34.972
0 , 0 , 35.018 , 35.018
0 , 0 , 35.062 , 35.062
0 , 0 , 35.092 , 35.092
0 , 0 , 35.124 , 35.124
0 , 0 , 35.156 , 35.156
0 , 0 , 35.186 , 35.186
0 , 0 , 35.234 , 35.234
0 , 0 , 35.262 , 35.262
0 , 0 , 35.294 , 35.294
0 , 0 , 35.356 , 35.356
0 , 0 , 35.388 , 35.388
0 , 0 , 35.418 , 35.418
0 , 0 , 35.462 , 35.462
0 , 0 , 35.494 , 35.494
0 , 0 , 35.526 , 35.526
0 , 0 , 35.588 , 35.588
0 , 0 , 35.62 , 35.62
0 , 0 , 35.664 , 35.664
0 , 0 , 35.694 , 35.694
0 , 0 , 35.726 , 35.726
0 , 0 , 35.758 , 35.758
0 , 0 , 35.82 , 35.82
0 , 0.001 , 35.86 , 35.861
0 , 0 , 35.896 , 35.896
0 , 0 , 35.926 , 35.926
0 , 0 , 35.958 , 35.958
0 , 0 , 35.99 , 35.99
0 , 0 , 36.055 , 36.055
0.016 , 0 , 36.064 , 36.08
0 , 0 , 36.126 , 36.126
0 , 0 , 36.158 , 36.158
0 , 0 , 36.22 , 36.22
0 , 0 , 36.264 , 36.264
0 , 0 , 36.296 , 36.296
0 , 0 , 36.358 , 36.358
0 , 0 , 36.388 , 36.388
0 , 0 , 36.42 , 36.42
0 , 0 , 36.464 , 36.464
0 , 0 , 36.496 , 36.496
0 , 0 , 36.558 , 36.558
0 , 0 , 36.59 , 36.59
0 , 0 , 36.62 , 36.62
0 , 0 , 36.666 , 36.666
0 , 0 , 36.728 , 36.728
0 , 0 , 36.758 , 36.758
0 , 0 , 36.79 , 36.79
0 , 0 , 36.856 , 36.856
0 , 0 , 36.898 , 36.898
0 , 0 , 36.928 , 36.928
0 , 0 , 36.96 , 36.96
0 , 0 , 37.022 , 37.022
0 , 0 , 37.066 , 37.066
0 , 0 , 37.096 , 37.096
0 , 0 , 37.16 , 37.16
0 , 0 , 37.19 , 37.19
0 , 0 , 37.222 , 37.222
0 , 0 , 37.266 , 37.266
0 , 0 , 37.328 , 37.328
0 , 0 , 37.36 , 37.36
0 , 0 , 37.422 , 37.422
0 , 0 , 37.466 , 37.466
0 , 0 , 37.498 , 37.498
0 , 0 , 37.544 , 37.544
0 , 0 , 37.59 , 37.59
0 , 0 , 37.624 , 37.624
0 , 0 , 37.666 , 37.666
0 , 0 , 37.73 , 37.73
0 , 0 , 37.76 , 37.76
0 , 0 , 37.824 , 37.824
0 , 0 , 37.868 , 37.868
0 , 0 , 37.898 , 37.898
0 , 0 , 37.962 , 37.962
0 , 0 , 37.992 , 37.992
0.001 , 0 , 38.04 , 38.041
0 , 0 , 38.1 , 38.1
0 , 0 , 38.13 , 38.13
0 , 0 , 38.162 , 38.162
0 , 0 , 38.224 , 38.224
0 , 0 , 38.268 , 38.268
0 , 0 , 38.3 , 38.3
0 , 0 , 38.362 , 38.362
0 , 0 , 38.394 , 38.394
0 , 0.001 , 38.458 , 38.459
0 , 0 , 38.5 , 38.5
0 , 0 , 38.532 , 38.532
0 , 0 , 38.594 , 38.594
0 , 0 , 38.626 , 38.626
0 , 0 , 38.67 , 38.67
0 , 0 , 38.716 , 38.716
0 , 0 , 38.764 , 38.764
0 , 0.016 , 38.794 , 38.81
0 , 0 , 38.87 , 38.87
0 , 0 , 38.902 , 38.902
0 , 0 , 38.932 , 38.932
0 , 0 , 38.996 , 38.996
0 , 0 , 39.026 , 39.026
0.016 , 0 , 39.07 , 39.086
0 , 0 , 39.134 , 39.134
0 , 0 , 39.196 , 39.196
0 , 0 , 39.226 , 39.226
0 , 0 , 39.272 , 39.272
0 , 0 , 39.334 , 39.334
0 , 0 , 39.364 , 39.364
0 , 0 , 39.428 , 39.428
0 , 0 , 39.472 , 39.472
0 , 0 , 39.534 , 39.534
0 , 0 , 39.566 , 39.566
0 , 0 , 39.628 , 39.628
0 , 0 , 39.672 , 39.672
0 , 0 , 39.704 , 39.704
0 , 0 , 39.766 , 39.766
0.015 , 0 , 39.798 , 39.813
0 , 0 , 39.872 , 39.872
0 , 0 , 39.904 , 39.904
0 , 0 , 39.966 , 39.966
0 , 0 , 39.998 , 39.998
0 , 0 , 40.074 , 40.074
0 , 0 , 40.104 , 40.104
0 , 0 , 40.168 , 40.168
0 , 0 , 40.198 , 40.198
0 , 0 , 40.274 , 40.274
0 , 0 , 40.304 , 40.304
0 , 0 , 40.366 , 40.366
0 , 0 , 40.472 , 40.472
0 , 0 , 40.504 , 40.504
0 , 0 , 40.566 , 40.566
0 , 0 , 40.598 , 40.598
0 , 0 , 40.674 , 40.674
0 , 0 , 40.704 , 40.704
0 , 0 , 40.768 , 40.768
0.016 , 0 , 40.798 , 40.814
0 , 0 , 40.874 , 40.874
0 , 0 , 40.906 , 40.906
0 , 0 , 40.968 , 40.968
0 , 0 , 41.03 , 41.03
0 , 0 , 41.074 , 41.074
0 , 0 , 41.122 , 41.122
0 , 0 , 41.168 , 41.168
0 , 0 , 41.232 , 41.232
0 , 0 , 41.276 , 41.276
0 , 0 , 41.338 , 41.338
0 , 0 , 41.37 , 41.37
0 , 0 , 41.432 , 41.432
0 , 0 , 41.476 , 41.476
0 , 0 , 41.538 , 41.538
0 , 0 , 41.6 , 41.6
0 , 0 , 41.632 , 41.632
0 , 0 , 41.706 , 41.706
0.016 , 0 , 41.738 , 41.754
0 , 0 , 41.8 , 41.8
0 , 0 , 41.875 , 41.875
0 , 0 , 41.906 , 41.906
0 , 0 , 41.97 , 41.97
0 , 0 , 42.032 , 42.032
0 , 0 , 42.076 , 42.076
0 , 0 , 42.138 , 42.138
