#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 19.94 , 19.94
0 , 0 , 19.94 , 19.94
0 , 0 , 19.94 , 19.94
0 , 0 , 19.94 , 19.94
0 , 0 , 19.956 , 19.956
0 , 0 , 19.972 , 19.972
0 , 0 , 19.972 , 19.972
0 , 0 , 19.972 , 19.972
0 , 0 , 19.972 , 19.972
0 , 0 , 19.972 , 19.972
0 , 0 , 19.972 , 19.972
0 , 0 , 20.002 , 20.002
0 , 0 , 20.006 , 20.006
0 , 0 , 20.006 , 20.006
0 , 0 , 20.006 , 20.006
0 , 0 , 20.006 , 20.006
0 , 0 , 20.006 , 20.006
0 , 0 , 20.006 , 20.006
0.001 , 0 , 20.04 , 20.041
0.001 , 0 , 20.046 , 20.047
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.142 , 20.142
0 , 0 , 20.142 , 20.142
0 , 0 , 20.142 , 20.142
0 , 0 , 20.142 , 20.142
0 , 0 , 20.142 , 20.142
0 , 0 , 20.172 , 20.172
0 , 0 , 20.172 , 20.172
0 , 0 , 20.172 , 20.172
0 , 0 , 20.172 , 20.172
0 , 0 , 20.204 , 20.204
0 , 0 , 20.204 , 20.204
0 , 0 , 20.204 , 20.204
0 , 0 , 20.204 , 20.204
0 , 0 , 20.204 , 20.204
0 , 0.001 , 20.238 , 20.239
0.001 , 0 , 20.246 , 20.247
0 , 0 , 20.248 , 20.248
0 , 0 , 20.248 , 20.248
0 , 0 , 20.248 , 20.248
0 , 0 , 20.248 , 20.248
0 , 0 , 20.28 , 20.28
0 , 0 , 20.28 , 20.28
0 , 0 , 20.28 , 20.28
0 , 0 , 20.28 , 20.28
0 , 0 , 20.31 , 20.31
0 , 0 , 20.31 , 20.31
0 , 0 , 20.31 , 20.31
0 , 0 , 20.31 , 20.31
0 , 0 , 20.342 , 20.342
0 , 0 , 20.342 , 20.342
0 , 0 , 20.342 , 20.342
0 , 0.015 , 20.342 , 20.357
0 , 0 , 20.372 , 20.372
0 , 0 , 20.372 , 20.372
0 , 0 , 20.372 , 20.372
0 , 0 , 20.404 , 20.404
0 , 0 , 20.404 , 20.404
0 , 0 , 20.404 , 20.404
0.016 , 0 , 20.404 , 20.42
0 , 0.001 , 20.442 , 20.443
0.001 , 0 , 20.452 , 20.453
0.001 , 0 , 20.462 , 20.463
0.001 , 0 , 20.472 , 20.473
0 , 0.001 , 20.48 , 20.481
0.001 , 0 , 20.49 , 20.491
0.001 , 0 , 20.5 , 20.501
0.001 , 0 , 20.51 , 20.511
0.001 , 0 , 20.52 , 20.521
0.001 , 0 , 20.53 , 20.531
0 , 0 , 20.54 , 20.54
0 , 0 , 20.55 , 20.55
0.001 , 0 , 20.562 , 20.563
0.001 , 0 , 20.572 , 20.573
0.001 , 0 , 20.582 , 20.583
0.001 , 0 , 20.592 , 20.593
0.001 , 0.001 , 20.602 , 20.604
0.001 , 0.001 , 20.614 , 20.616
0.001 , 0.001 , 20.626 , 20.628
0.001 , 0 , 20.64 , 20.641
0.001 , 0 , 20.654 , 20.655
0.001 , 0 , 20.666 , 20.667
0.001 , 0 , 20.678 , 20.679
0 , 0 , 20.69 , 20.69
0 , 0 , 20.69 , 20.69
0 , 0 , 20.69 , 20.69
0 , 0 , 20.72 , 20.72
0 , 0 , 20.752 , 20.752
0 , 0 , 20.782 , 20.782
0 , 0 , 20.814 , 20.814
0 , 0 , 20.83 , 20.83
0 , 0 , 20.846 , 20.846
0 , 0 , 20.846 , 20.846
0 , 0.001 , 20.88 , 20.881
0 , 0 , 20.89 , 20.89
0 , 0 , 20.89 , 20.89
0 , 0 , 20.89 , 20.89
0 , 0 , 20.92 , 20.92
0 , 0 , 20.92 , 20.92
0 , 0 , 20.952 , 20.952
0 , 0 , 20.984 , 20.984
0 , 0 , 21.014 , 21.014
0 , 0 , 21.014 , 21.014
0 , 0 , 21.046 , 21.046
0 , 0 , 21.046 , 21.046
0.001 , 0 , 21.082 , 21.083
0 , 0 , 21.09 , 21.09
0 , 0 , 21.09 , 21.09
0 , 0 , 21.12 , 21.12
0 , 0 , 21.12 , 21.12
0.016 , 0 , 21.12 , 21.136
0 , 0 , 21.152 , 21.152
0 , 0 , 21.152 , 21.152
0 , 0 , 21.184 , 21.184
0 , 0 , 21.184 , 21.184
0 , 0 , 21.214 , 21.214
0 , 0 , 21.214 , 21.214
0 , 0 , 21.246 , 21.246
0 , 0 , 21.246 , 21.246
0.001 , 0 , 21.278 , 21.279
0 , 0 , 21.29 , 21.29
0 , 0 , 21.29 , 21.29
0 , 0 , 21.322 , 21.322
0 , 0 , 21.322 , 21.322
0 , 0.015 , 21.322 , 21.337
0 , 0 , 21.352 , 21.352
0.016 , 0 , 21.352 , 21.368
0 , 0 , 21.384 , 21.384
0.015 , 0 , 21.384 , 21.399
0 , 0 , 21.414 , 21.414
0.016 , 0 , 21.414 , 21.43
0 , 0 , 21.446 , 21.446
0.016 , 0 , 21.446 , 21.462
0 , 0 , 21.49 , 21.49
0 , 0 , 21.49 , 21.49
0 , 0 , 21.522 , 21.522
0 , 0 , 21.522 , 21.522
0 , 0 , 21.552 , 21.552
0 , 0 , 21.552 , 21.552
0 , 0 , 21.584 , 21.584
0 , 0 , 21.584 , 21.584
0 , 0 , 21.616 , 21.616
0.015 , 0 , 21.616 , 21.631
0 , 0 , 21.646 , 21.646
0.003 , 0 , 21.68 , 21.683
0 , 0 , 21.692 , 21.692
0 , 0.015 , 21.692 , 21.707
0 , 0 , 21.722 , 21.722
0 , 0 , 21.754 , 21.754
0.015 , 0 , 21.754 , 21.769
0 , 0 , 21.784 , 21.784
0 , 0 , 21.816 , 21.816
0.016 , 0 , 21.816 , 21.832
0 , 0 , 21.848 , 21.848
0.002 , 0 , 21.888 , 21.89
0 , 0 , 21.892 , 21.892
0 , 0 , 21.922 , 21.922
0 , 0 , 21.954 , 21.954
0.016 , 0 , 21.954 , 21.97
0 , 0 , 21.986 , 21.986
0 , 0 , 22.016 , 22.016
0 , 0 , 22.048 , 22.048
0.003 , 0 , 22.08 , 22.083
0 , 0 , 22.092 , 22.092
0 , 0 , 22.122 , 22.122
0 , 0 , 22.138 , 22.138
0.016 , 0 , 22.154 , 22.17
0 , 0 , 22.186 , 22.186
0 , 0 , 22.216 , 22.216
0 , 0 , 22.248 , 22.248
0.018 , 0 , 22.248 , 22.266
0 , 0 , 22.292 , 22.292
