#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 19.91 , 19.91
0 , 0 , 19.91 , 19.91
0 , 0 , 19.91 , 19.91
0 , 0 , 19.91 , 19.91
0 , 0 , 19.91 , 19.91
0 , 0 , 19.91 , 19.91
0 , 0 , 19.926 , 19.926
0 , 0 , 19.942 , 19.942
0 , 0 , 19.944 , 19.944
0 , 0 , 19.946 , 19.946
0 , 0 , 19.948 , 19.948
0 , 0 , 19.95 , 19.95
0 , 0 , 19.952 , 19.952
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.954 , 19.954
0 , 0 , 19.986 , 19.986
0 , 0 , 19.986 , 19.986
0 , 0 , 19.986 , 19.986
0 , 0 , 19.986 , 19.986
0 , 0 , 19.986 , 19.986
0 , 0 , 19.986 , 19.986
0 , 0 , 19.986 , 19.986
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.048 , 20.048
0 , 0 , 20.08 , 20.08
0 , 0 , 20.08 , 20.08
0 , 0 , 20.08 , 20.08
0 , 0 , 20.08 , 20.08
0 , 0 , 20.08 , 20.08
0 , 0 , 20.08 , 20.08
0 , 0 , 20.08 , 20.08
0 , 0 , 20.08 , 20.08
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0 , 0 , 20.11 , 20.11
0.016 , 0 , 20.11 , 20.126
0 , 0 , 20.146 , 20.146
0 , 0 , 20.15 , 20.15
0 , 0 , 20.154 , 20.154
0 , 0 , 20.154 , 20.154
0 , 0 , 20.154 , 20.154
0 , 0 , 20.154 , 20.154
0 , 0 , 20.154 , 20.154
0 , 0 , 20.154 , 20.154
0 , 0 , 20.154 , 20.154
0 , 0.016 , 20.154 , 20.17
0 , 0 , 20.186 , 20.186
0 , 0 , 20.186 , 20.186
0 , 0 , 20.186 , 20.186
0 , 0 , 20.186 , 20.186
0 , 0 , 20.186 , 20.186
0 , 0 , 20.186 , 20.186
0 , 0 , 20.216 , 20.216
0 , 0 , 20.216 , 20.216
0 , 0 , 20.216 , 20.216
0 , 0 , 20.216 , 20.216
0 , 0 , 20.216 , 20.216
0 , 0 , 20.216 , 20.216
0 , 0 , 20.248 , 20.248
0 , 0 , 20.248 , 20.248
0 , 0 , 20.248 , 20.248
0 , 0 , 20.248 , 20.248
0 , 0 , 20.248 , 20.248
0 , 0 , 20.248 , 20.248
0 , 0 , 20.28 , 20.28
0 , 0 , 20.28 , 20.28
0 , 0 , 20.28 , 20.28
0 , 0 , 20.28 , 20.28
0 , 0 , 20.28 , 20.28
0 , 0 , 20.28 , 20.28
0 , 0 , 20.31 , 20.31
0 , 0 , 20.31 , 20.31
0 , 0 , 20.31 , 20.31
0 , 0 , 20.31 , 20.31
0 , 0 , 20.31 , 20.31
0 , 0 , 20.31 , 20.31
0 , 0 , 20.345 , 20.345
0 , 0 , 20.35 , 20.35
0 , 0 , 20.354 , 20.354
0 , 0 , 20.354 , 20.354
0 , 0 , 20.354 , 20.354
0 , 0 , 20.354 , 20.354
0 , 0 , 20.354 , 20.354
0 , 0 , 20.386 , 20.386
0 , 0 , 20.386 , 20.386
0 , 0 , 20.386 , 20.386
0 , 0 , 20.386 , 20.386
0 , 0 , 20.386 , 20.386
0 , 0 , 20.386 , 20.386
0 , 0 , 20.418 , 20.418
0 , 0 , 20.418 , 20.418
0 , 0 , 20.418 , 20.418
0 , 0 , 20.418 , 20.418
0 , 0 , 20.448 , 20.448
0 , 0 , 20.448 , 20.448
0 , 0 , 20.448 , 20.448
0 , 0 , 20.448 , 20.448
0 , 0 , 20.448 , 20.448
0 , 0 , 20.48 , 20.48
0 , 0 , 20.48 , 20.48
0 , 0 , 20.48 , 20.48
0 , 0 , 20.48 , 20.48
0 , 0 , 20.48 , 20.48
0 , 0 , 20.512 , 20.512
0 , 0 , 20.512 , 20.512
0 , 0 , 20.512 , 20.512
0 , 0 , 20.512 , 20.512
0 , 0 , 20.548 , 20.548
0 , 0 , 20.556 , 20.556
0 , 0 , 20.556 , 20.556
0 , 0 , 20.556 , 20.556
0 , 0 , 20.556 , 20.556
0 , 0 , 20.586 , 20.586
0 , 0 , 20.586 , 20.586
0 , 0 , 20.586 , 20.586
0 , 0 , 20.586 , 20.586
0 , 0 , 20.618 , 20.618
0 , 0 , 20.618 , 20.618
0 , 0 , 20.618 , 20.618
0.016 , 0 , 20.618 , 20.634
0 , 0 , 20.65 , 20.65
0 , 0 , 20.65 , 20.65
0 , 0 , 20.68 , 20.68
0 , 0 , 20.68 , 20.68
0 , 0 , 20.68 , 20.68
0 , 0 , 20.712 , 20.712
0 , 0 , 20.712 , 20.712
0 , 0 , 20.712 , 20.712
0 , 0 , 20.712 , 20.712
0 , 0 , 20.749 , 20.749
0 , 0 , 20.756 , 20.756
0 , 0 , 20.756 , 20.756
0 , 0 , 20.756 , 20.756
0 , 0 , 20.788 , 20.788
0 , 0 , 20.788 , 20.788
0 , 0 , 20.788 , 20.788
0 , 0 , 20.818 , 20.818
0 , 0 , 20.818 , 20.818
0 , 0 , 20.818 , 20.818
0 , 0 , 20.85 , 20.85
0 , 0 , 20.85 , 20.85
0 , 0 , 20.85 , 20.85
0 , 0 , 20.85 , 20.85
0 , 0 , 20.88 , 20.88
0 , 0 , 20.88 , 20.88
0 , 0 , 20.88 , 20.88
0 , 0 , 20.912 , 20.912
0 , 0 , 20.912 , 20.912
0 , 0 , 20.912 , 20.912
0 , 0 , 20.946 , 20.946
0 , 0 , 20.956 , 20.956
0 , 0 , 20.956 , 20.956
0 , 0 , 20.956 , 20.956
0 , 0 , 20.956 , 20.956
0 , 0 , 20.988 , 20.988
0 , 0 , 20.988 , 20.988
0 , 0 , 20.988 , 20.988
0 , 0 , 21.018 , 21.018
0 , 0 , 21.018 , 21.018
0 , 0 , 21.018 , 21.018
0 , 0 , 21.05 , 21.05
0 , 0 , 21.05 , 21.05
0 , 0 , 21.082 , 21.082
0 , 0 , 21.082 , 21.082
0 , 0 , 21.082 , 21.082
0 , 0 , 21.112 , 21.112
0 , 0 , 21.112 , 21.112
0 , 0 , 21.112 , 21.112
0.001 , 0 , 21.15 , 21.151
0 , 0 , 21.156 , 21.156
0 , 0 , 21.156 , 21.156
0 , 0 , 21.156 , 21.156
0 , 0 , 21.188 , 21.188
0 , 0 , 21.188 , 21.188
0.016 , 0 , 21.188 , 21.204
0 , 0 , 21.22 , 21.22
0 , 0 , 21.22 , 21.22
0 , 0 , 21.25 , 21.25
0 , 0 , 21.25 , 21.25
0 , 0 , 21.25 , 21.25
0 , 0 , 21.282 , 21.282
0 , 0 , 21.282 , 21.282
0 , 0 , 21.314 , 21.314
0 , 0 , 21.314 , 21.314
0 , 0 , 21.314 , 21.314
0.001 , 0 , 21.35 , 21.351
0 , 0 , 21.358 , 21.358
0 , 0 , 21.358 , 21.358
0 , 0 , 21.388 , 21.388
0 , 0 , 21.388 , 21.388
0 , 0 , 21.388 , 21.388
0 , 0 , 21.42 , 21.42
0 , 0 , 21.42 , 21.42
0 , 0 , 21.452 , 21.452
0 , 0 , 21.452 , 21.452
0 , 0 , 21.452 , 21.452
0 , 0 , 21.482 , 21.482
0 , 0 , 21.482 , 21.482
0 , 0 , 21.514 , 21.514
0 , 0 , 21.514 , 21.514
0 , 0 , 21.514 , 21.514
0 , 0 , 21.554 , 21.554
