#Qurey Time, Memory allocation , I/O Time , Total
0 , 0.069 , 0 , 0.069
0 , 0.069 , 0 , 0.069
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.069 , 0 , 0.069
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0.063 , 0 , 0.063
0 , 0.063 , 0 , 0.063
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0.016 , 0.131 , 0 , 0.147
0.016 , 0.131 , 0 , 0.147
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0.016 , 0.147 , 0 , 0.163
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.121 , 0 , 0.121
0 , 0.121 , 0 , 0.121
0 , 0.121 , 0 , 0.121
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0.001 , 0.166 , 0 , 0.167
0 , 0 , 0 , 0
0.001 , 0.132 , 0 , 0.133
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0.001 , 0.101 , 0 , 0.102
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0 , 0.134 , 0 , 0.134
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0.107 , 0 , 0.107
0 , 0.107 , 0 , 0.107
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0.162 , 0 , 0.162
0 , 0 , 0 , 0
0 , 0.163 , 0 , 0.163
0 , 0.163 , 0 , 0.163
0 , 0 , 0 , 0
0 , 0.132 , 0 , 0.132
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.123 , 0 , 0.123
0 , 0.123 , 0 , 0.123
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.107 , 0 , 0.107
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.122 , 0 , 0.122
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0.016 , 0.15 , 0 , 0.166
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.137 , 0 , 0.137
0 , 0.137 , 0 , 0.137
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.137 , 0 , 0.137
0 , 0 , 0 , 0
0 , 0.107 , 0 , 0.107
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.122 , 0 , 0.122
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.099 , 0 , 0.099
0 , 0.099 , 0 , 0.099
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0.016 , 0.122 , 0 , 0.138
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.151 , 0 , 0.151
0 , 0.151 , 0 , 0.151
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0.137 , 0 , 0.137
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0.015 , 0.101 , 0 , 0.116
0.016 , 0.231 , 0 , 0.247
0.016 , 0.231 , 0 , 0.247
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.001 , 0.104 , 0 , 0.105
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.132 , 0 , 0.132
0 , 0.132 , 0 , 0.132
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0.015 , 0.116 , 0 , 0.131
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.106 , 0 , 0.106
0 , 0.106 , 0 , 0.106
0 , 0 , 0 , 0
0 , 0.106 , 0 , 0.106
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.122 , 0 , 0.122
0 , 0.122 , 0 , 0.122
0 , 0.122 , 0 , 0.122
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.185 , 0 , 0.185
0 , 0.185 , 0 , 0.185
0 , 0 , 0 , 0
0 , 0.106 , 0 , 0.106
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.106 , 0 , 0.106
0 , 0.105 , 0 , 0.105
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0.132 , 0 , 0.132
0 , 0.132 , 0 , 0.132
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0.001 , 0.103 , 0 , 0.104
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.016 , 0.1 , 0 , 0.116
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.106 , 0 , 0.106
0 , 0.206 , 0 , 0.206
0 , 0.206 , 0 , 0.206
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.099 , 0 , 0.099
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.184 , 0 , 0.184
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.104 , 0 , 0.104
0.001 , 0.104 , 0 , 0.105
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.185 , 0 , 0.185
0 , 0.185 , 0 , 0.185
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.106 , 0 , 0.106
0 , 0 , 0 , 0
0 , 0.089 , 0 , 0.089
0.016 , 0.088 , 0 , 0.104
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0.001 , 0.103 , 0 , 0.104
0 , 0.099 , 0 , 0.099
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.167 , 0 , 0.167
0 , 0.166 , 0 , 0.166
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0.016 , 0.1 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.106 , 0 , 0.106
0 , 0.105 , 0 , 0.105
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.099 , 0 , 0.099
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.015 , 0.085 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.101 , 0 , 0.101
0.015 , 0.101 , 0 , 0.116
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0.016 , 0.115 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0.001 , 0.102 , 0 , 0.103
0.001 , 0.102 , 0 , 0.103
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.107 , 0 , 0.107
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.163 , 0 , 0.163
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.106 , 0 , 0.106
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0.016 , 0.085 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0.001 , 0.102 , 0 , 0.103
0.001 , 0.102 , 0 , 0.103
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.105 , 0 , 0.105
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.106 , 0 , 0.106
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.123 , 0 , 0.123
0 , 0.123 , 0 , 0.123
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0.001 , 0.117 , 0 , 0.118
0.001 , 0.117 , 0 , 0.118
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.099 , 0 , 0.099
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.107 , 0 , 0.107
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.084 , 0 , 0.084
0.016 , 0.084 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.016 , 0.084 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.102 , 0 , 0.102
0 , 0.102 , 0 , 0.102
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.001 , 0.101 , 0 , 0.102
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0.138 , 0 , 0.138
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0.015 , 0.085 , 0 , 0.1
0 , 0.148 , 0 , 0.148
0 , 0.148 , 0 , 0.148
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0.001 , 0.104 , 0 , 0.105
0.001 , 0.104 , 0 , 0.105
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0.016 , 0.084 , 0 , 0.1
0.016 , 0.084 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.101 , 0 , 0.101
0 , 0.101 , 0 , 0.101
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0.016 , 0.085 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.137 , 0 , 0.137
0 , 0.137 , 0 , 0.137
0 , 0 , 0 , 0
0 , 0.099 , 0 , 0.099
0 , 0 , 0 , 0
0 , 0.115 , 0 , 0.115
0 , 0.084 , 0 , 0.084
0 , 0.084 , 0 , 0.084
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0.015 , 0.085 , 0 , 0.1
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0.016 , 0.085 , 0 , 0.101
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.167 , 0 , 0.167
0 , 0.167 , 0 , 0.167
0 , 0 , 0 , 0
0 , 0.101 , 0 , 0.101
0 , 0.103 , 0 , 0.103
0 , 0.102 , 0 , 0.102
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0.016 , 0.131 , 0 , 0.147
0.016 , 0.131 , 0 , 0.147
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0.132 , 0 , 0.132
