#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.02715 , 0.063 , 27.15 , 27.24015
0.027448 , 0.131 , 27.448 , 27.606448
0.027784 , 0.116 , 27.784 , 27.927784
0.028142 , 0.169 , 28.142 , 28.339142
0.028582 , 0.1 , 28.582 , 28.710582
0.02894 , 0.154 , 28.94 , 29.12294
0.029342 , 0.068 , 29.342 , 29.439342
0.029578 , 0.066 , 29.578 , 29.673578
0.0298 , 0.062 , 29.8 , 29.8918
0.031048 , 0.065 , 30.048 , 30.144048
0.030263 , 0.069 , 30.263 , 30.362263
0.03051 , 0.069 , 30.51 , 30.60951
0.03071 , 0.053 , 30.71 , 30.79371
0.030942 , 0.053 , 30.942 , 31.025942
0.031142 , 0.069 , 31.142 , 31.242142
0.031384 , 0.079 , 31.384 , 31.494384
0.031618 , 0.102 , 31.618 , 31.751618
0.031888 , 0.112 , 31.888 , 32.031888
0.032188 , 0.115 , 32.188 , 32.335188
0.032482 , 0.1 , 32.482 , 32.614482
0.032744 , 0.122 , 32.744 , 32.898744
0.033082 , 0.069 , 33.082 , 33.184082
0.033314 , 0.069 , 33.314 , 33.416314
0.033546 , 0.085 , 33.546 , 33.664546
0.033788 , 0.063 , 33.788 , 33.884788
0.03399 , 0.116 , 33.99 , 34.13999
0.034314 , 0.1 , 34.314 , 34.448314
0.03459 , 0.078 , 34.59 , 34.70259
0.034854 , 0.084 , 34.854 , 34.972854
0.035116 , 0.084 , 35.116 , 35.235116
0.035382 , 0.104 , 35.382 , 35.521382
0.035654 , 0.116 , 35.654 , 35.805654
0.036982 , 0.1 , 35.982 , 36.118982
0.036256 , 0.099 , 36.256 , 36.391256
0.036548 , 0.121 , 36.548 , 36.705548
0.036854 , 0.101 , 36.854 , 36.991854
0.03715 , 0.084 , 37.15 , 37.27115
0.037392 , 0.116 , 37.392 , 37.545392
0.037688 , 0.084 , 37.688 , 37.809688
0.03795 , 0.099 , 37.95 , 38.08695
0.038224 , 0.1 , 38.224 , 38.362224
0.038488 , 0.115 , 38.488 , 38.641488
0.038792 , 0.117 , 38.792 , 38.947792
0.039118 , 0.1 , 39.118 , 39.257118
0.039424 , 0.1 , 39.424 , 39.563424
0.039718 , 0.1 , 39.718 , 39.857718
0.039994 , 0.084 , 39.994 , 40.117994
0.040288 , 0.1 , 40.288 , 40.428288
0.04055 , 0.1 , 40.55 , 40.69055
0.056826 , 0.084 , 40.826 , 40.966826
0.041092 , 0.083 , 41.092 , 41.216092
0.041352 , 0.099 , 41.352 , 41.492352
0.041628 , 0.084 , 41.628 , 41.753628
0.04189 , 0.085 , 41.89 , 42.01689
0.042154 , 0.099 , 42.154 , 42.295154
0.042428 , 0.084 , 42.428 , 42.554428
0.04266 , 0.131 , 42.66 , 42.83366
0.042996 , 0.1 , 42.996 , 43.138996
0.04326 , 0.1 , 43.26 , 43.40326
0.043522 , 0.101 , 43.522 , 43.666522
0.043798 , 0.1 , 43.798 , 43.941798
0.044092 , 0.1 , 44.092 , 44.236092
0.044356 , 0.103 , 44.356 , 44.503356
0.044662 , 0.1 , 44.662 , 44.806662
0.060926 , 0.099 , 44.926 , 45.085926
0.045198 , 0.117 , 45.198 , 45.360198
0.045494 , 0.1 , 45.494 , 45.639494
0.045758 , 0.121 , 45.758 , 45.924758
0.046062 , 0.116 , 46.062 , 46.224062
0.062358 , 0.099 , 46.358 , 46.519358
0.046634 , 0.116 , 46.634 , 46.796634
0.046928 , 0.115 , 46.928 , 47.089928
0.047234 , 0.116 , 47.234 , 47.397234
0.047528 , 0.116 , 47.528 , 47.691528
0.047818 , 0.101 , 47.818 , 47.966818
0.048098 , 0.116 , 48.098 , 48.262098
0.048404 , 0.116 , 48.404 , 48.568404
0.048698 , 0.116 , 48.698 , 48.862698
0.049006 , 0.115 , 49.006 , 49.170006
0.049298 , 0.116 , 49.298 , 49.463298
0.049604 , 0.101 , 49.604 , 49.754604
0.049868 , 0.116 , 49.868 , 50.033868
0.051162 , 0.116 , 50.162 , 50.329162
