#Qurey Time, Memory allocation , I/O Time , Total
0 , 0.068 , 0 , 0.068
0 , 0.068 , 0 , 0.068
0 , 0 , 0 , 0
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0.053 , 0 , 0.053
0 , 0 , 0 , 0
0.001 , 0.08 , 0 , 0.081
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0.085 , 0 , 0.085
0 , 0.084 , 0 , 0.084
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0.016 , 0.085 , 0 , 0.101
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.085 , 0 , 0.085
0 , 0 , 0 , 0
0 , 0.106 , 0 , 0.106
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0.122 , 0 , 0.122
0 , 0.121 , 0 , 0.121
0 , 0 , 0 , 0
0.001 , 0.12 , 0 , 0.121
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.147 , 0 , 0.147
0 , 0 , 0 , 0
0 , 0.146 , 0 , 0.146
0 , 0.146 , 0 , 0.146
0 , 0 , 0 , 0
0 , 0.152 , 0 , 0.152
0 , 0.138 , 0 , 0.138
0 , 0.138 , 0 , 0.138
0 , 0.138 , 0 , 0.138
0 , 0 , 0 , 0
0 , 0.185 , 0 , 0.185
0 , 0.185 , 0 , 0.185
0 , 0 , 0 , 0
0 , 0.162 , 0 , 0.162
0.015 , 0.132 , 0 , 0.147
0.016 , 0.132 , 0 , 0.148
0 , 0 , 0 , 0
0 , 0.153 , 0 , 0.153
0 , 0.154 , 0 , 0.154
0 , 0 , 0 , 0
0 , 0.137 , 0 , 0.137
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.153 , 0 , 0.153
0 , 0 , 0 , 0
0 , 0.153 , 0 , 0.153
0 , 0.168 , 0 , 0.168
0 , 0.168 , 0 , 0.168
0 , 0 , 0 , 0
0 , 0.153 , 0 , 0.153
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.115 , 0 , 0.115
0 , 0.115 , 0 , 0.115
0 , 0 , 0 , 0
0 , 0.147 , 0 , 0.147
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.169 , 0 , 0.169
0 , 0.169 , 0 , 0.169
0 , 0 , 0 , 0
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.106 , 0 , 0.106
0 , 0 , 0 , 0
0 , 0 , 0 , 0
0 , 0.117 , 0 , 0.117
0 , 0 , 0 , 0
0 , 0.122 , 0 , 0.122
0 , 0 , 0 , 0
0.001 , 0.116 , 0 , 0.117
0 , 0 , 0 , 0
0.017 , 0.131 , 0 , 0.148
0 , 0.131 , 0 , 0.131
0 , 0.131 , 0 , 0.131
0 , 0 , 0 , 0
0 , 0.131 , 0 , 0.131
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.106 , 0 , 0.106
0 , 0.106 , 0 , 0.106
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.122 , 0 , 0.122
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0.001 , 0.115 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.1 , 0 , 0.1
0 , 0.1 , 0 , 0.1
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0 , 0 , 0
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
0 , 0.116 , 0 , 0.116
