#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.026582 , 0.062 , 26.582 , 26.670582
0.026874 , 0.1 , 26.874 , 27.000874
0.027184 , 0.084 , 27.184 , 27.295184
0.027458 , 0.063 , 27.458 , 27.548458
0.02766 , 0.062 , 27.66 , 27.74966
0.02789 , 0.069 , 27.89 , 27.98689
0.028122 , 0.069 , 28.122 , 28.219122
0.028354 , 0.085 , 28.354 , 28.467354
0.028586 , 0.085 , 28.586 , 28.699586
0.028862 , 0.081 , 28.862 , 28.971862
0.029094 , 0.068 , 29.094 , 29.191094
0.029324 , 0.116 , 29.324 , 29.469324
0.02963 , 0.1 , 29.63 , 29.75963
0.029928 , 0.083 , 29.928 , 30.040928
0.030188 , 0.1 , 30.188 , 30.318188
0.030462 , 0.101 , 30.462 , 30.593462
0.030758 , 0.115 , 30.758 , 30.903758
0.031064 , 0.131 , 31.064 , 31.226064
0.031426 , 0.118 , 31.426 , 31.575426
0.031758 , 0.116 , 31.758 , 31.905758
0.032064 , 0.116 , 32.064 , 32.212064
0.032358 , 0.116 , 32.358 , 32.506358
0.032666 , 0.116 , 32.666 , 32.814666
0.032992 , 0.138 , 32.992 , 33.162992
0.03333 , 0.154 , 33.33 , 33.51733
0.0337 , 0.131 , 33.7 , 33.8647
0.034036 , 0.163 , 34.036 , 34.233036
0.034438 , 0.162 , 34.438 , 34.634438
0.034836 , 0.163 , 34.836 , 35.033836
0.035236 , 0.164 , 35.236 , 35.435236
0.035638 , 0.163 , 35.638 , 35.836638
0.036038 , 0.179 , 36.038 , 36.253038
0.03647 , 0.163 , 36.47 , 36.66947
0.036872 , 0.162 , 36.872 , 37.070872
0.037272 , 0.163 , 37.272 , 37.472272
0.037672 , 0.181 , 37.672 , 37.890672
0.039106 , 0.166 , 38.106 , 38.311106
0.038506 , 0.164 , 38.506 , 38.708506
0.038906 , 0.165 , 38.906 , 39.109906
0.039306 , 0.169 , 39.306 , 39.514306
0.039706 , 0.169 , 39.706 , 39.914706
0.040106 , 0.169 , 40.106 , 40.315106
0.040538 , 0.153 , 40.538 , 40.731538
0.040906 , 0.169 , 40.906 , 41.115906
0.041306 , 0.169 , 41.306 , 41.516306
0.041706 , 0.169 , 41.706 , 41.916706
0.042108 , 0.147 , 42.108 , 42.297108
0.042476 , 0.163 , 42.476 , 42.681476
0.042876 , 0.163 , 42.876 , 43.081876
0.043278 , 0.132 , 43.278 , 43.453278
0.043642 , 0.134 , 43.642 , 43.819642
0.043972 , 0.139 , 43.972 , 44.154972
0.044312 , 0.147 , 44.312 , 44.503312
0.04468 , 0.132 , 44.68 , 44.85668
0.045006 , 0.137 , 45.006 , 45.188006
0.045374 , 0.138 , 45.374 , 45.557374
0.045712 , 0.132 , 45.712 , 45.889712
0.04605 , 0.131 , 46.05 , 46.22705
0.046406 , 0.138 , 46.406 , 46.590406
0.046744 , 0.132 , 46.744 , 46.922744
0.047084 , 0.131 , 47.084 , 47.262084
0.047408 , 0.138 , 47.408 , 47.593408
0.04781 , 0.153 , 47.81 , 48.01081
0.048178 , 0.138 , 48.178 , 48.364178
0.048518 , 0.131 , 48.518 , 48.697518
0.048854 , 0.131 , 48.854 , 49.033854
0.04921 , 0.138 , 49.21 , 49.39721
0.049548 , 0.116 , 49.548 , 49.713548
0.049856 , 0.131 , 49.856 , 50.036856
0.050212 , 0.138 , 50.212 , 50.400212
0.05055 , 0.131 , 50.55 , 50.73155
0.050888 , 0.116 , 50.888 , 51.054888
0.051214 , 0.122 , 51.214 , 51.387214
0.067522 , 0.131 , 51.522 , 51.720522
