#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 139.932 , 139.932
0 , 0 , 139.97 , 139.97
0 , 0 , 139.972 , 139.972
0 , 0 , 139.974 , 139.974
0 , 0 , 139.974 , 139.974
0 , 0.001 , 139.98 , 139.981
0.001 , 0 , 139.982 , 139.983
0 , 0 , 139.985 , 139.985
0 , 0 , 139.986 , 139.986
0.001 , 0 , 139.988 , 139.989
0 , 0.001 , 139.99 , 139.991
0 , 0 , 139.993 , 139.993
0 , 0 , 139.996 , 139.996
0 , 0 , 139.998 , 139.998
0 , 0 , 140 , 140
0 , 0.001 , 140.002 , 140.003
0 , 0 , 140.004 , 140.004
0 , 0 , 140.006 , 140.006
0.001 , 0 , 140.008 , 140.009
0 , 0 , 140.012 , 140.012
0 , 0 , 140.014 , 140.014
0 , 0 , 140.016 , 140.016
0 , 0 , 140.02 , 140.02
0 , 0 , 140.022 , 140.022
0 , 0 , 140.027 , 140.027
0 , 0 , 140.03 , 140.03
0 , 0 , 140.032 , 140.032
0 , 0 , 140.035 , 140.035
0 , 0 , 140.038 , 140.038
0.001 , 0 , 140.04 , 140.041
0 , 0 , 140.044 , 140.044
0 , 0.001 , 140.046 , 140.047
0 , 0 , 140.104 , 140.104
0 , 0 , 140.108 , 140.108
0 , 0 , 140.112 , 140.112
0 , 0 , 140.114 , 140.114
0 , 0 , 140.118 , 140.118
0 , 0 , 140.12 , 140.12
0 , 0 , 140.123 , 140.123
0 , 0 , 140.126 , 140.126
0 , 0 , 140.129 , 140.129
0 , 0 , 140.132 , 140.132
0 , 0 , 140.136 , 140.136
0 , 0 , 140.138 , 140.138
0 , 0 , 140.142 , 140.142
0 , 0 , 140.144 , 140.144
0 , 0 , 140.148 , 140.148
0 , 0 , 140.152 , 140.152
0 , 0.001 , 140.154 , 140.155
0 , 0 , 140.158 , 140.158
0 , 0 , 140.162 , 140.162
0 , 0 , 140.164 , 140.164
0 , 0 , 140.168 , 140.168
0 , 0 , 140.172 , 140.172
0 , 0 , 140.176 , 140.176
0 , 0 , 140.18 , 140.18
0 , 0 , 140.184 , 140.184
0 , 0 , 140.188 , 140.188
0.001 , 0 , 140.192 , 140.193
0 , 0 , 140.196 , 140.196
0 , 0 , 140.2 , 140.2
0 , 0 , 140.204 , 140.204
0 , 0 , 140.208 , 140.208
0 , 0 , 140.212 , 140.212
0 , 0 , 140.216 , 140.216
0 , 0 , 140.22 , 140.22
0 , 0 , 140.224 , 140.224
0 , 0 , 140.228 , 140.228
0 , 0 , 140.232 , 140.232
0 , 0 , 140.236 , 140.236
0.001 , 0 , 140.24 , 140.241
0 , 0 , 140.246 , 140.246
0 , 0 , 140.25 , 140.25
0 , 0 , 140.254 , 140.254
0 , 0 , 140.258 , 140.258
0 , 0 , 140.262 , 140.262
0 , 0 , 140.268 , 140.268
0 , 0 , 140.272 , 140.272
0 , 0.001 , 140.276 , 140.277
0 , 0 , 140.282 , 140.282
0 , 0 , 140.286 , 140.286
0.001 , 0 , 140.29 , 140.291
0 , 0 , 140.296 , 140.296
0 , 0 , 140.3 , 140.3
0 , 0 , 140.305 , 140.305
0 , 0 , 140.31 , 140.31
0 , 0 , 140.316 , 140.316
0 , 0 , 140.32 , 140.32
0 , 0 , 140.326 , 140.326
0 , 0 , 140.33 , 140.33
0 , 0 , 140.335 , 140.335
0.001 , 0 , 140.34 , 140.341
0 , 0 , 140.346 , 140.346
0 , 0 , 140.351 , 140.351
0 , 0 , 140.356 , 140.356
0 , 0 , 140.362 , 140.362
0.001 , 0 , 140.366 , 140.367
0 , 0 , 140.372 , 140.372
0.001 , 0 , 140.378 , 140.379
0 , 0 , 140.384 , 140.384
0 , 0 , 140.39 , 140.39
0 , 0 , 140.396 , 140.396
0 , 0 , 140.401 , 140.401
0.001 , 0 , 140.406 , 140.407
0.001 , 0 , 140.412 , 140.413
0 , 0 , 140.418 , 140.418
0 , 0 , 140.424 , 140.424
0 , 0 , 140.43 , 140.43
0 , 0 , 140.436 , 140.436
0 , 0 , 140.442 , 140.442
0 , 0 , 140.448 , 140.448
0 , 0 , 140.454 , 140.454
0 , 0 , 140.46 , 140.46
0 , 0 , 140.466 , 140.466
0 , 0 , 140.472 , 140.472
0 , 0 , 140.478 , 140.478
0 , 0 , 140.485 , 140.485
0 , 0 , 140.492 , 140.492
0 , 0 , 140.498 , 140.498
0 , 0 , 140.504 , 140.504
0 , 0.001 , 140.51 , 140.511
0 , 0 , 140.517 , 140.517
0 , 0 , 140.524 , 140.524
0 , 0 , 140.53 , 140.53
0 , 0 , 140.537 , 140.537
0 , 0 , 140.544 , 140.544
0 , 0 , 140.55 , 140.55
0 , 0 , 140.556 , 140.556
0 , 0 , 140.564 , 140.564
0 , 0 , 140.57 , 140.57
0 , 0 , 140.578 , 140.578
0.001 , 0 , 140.584 , 140.585
0 , 0 , 140.592 , 140.592
0.001 , 0 , 140.598 , 140.599
0 , 0 , 140.606 , 140.606
0.001 , 0 , 140.612 , 140.613
0 , 0 , 140.62 , 140.62
0.001 , 0 , 140.626 , 140.627
0 , 0 , 140.634 , 140.634
0 , 0 , 140.642 , 140.642
0 , 0 , 140.65 , 140.65
0 , 0 , 140.658 , 140.658
0 , 0 , 140.665 , 140.665
0 , 0 , 140.672 , 140.672
0 , 0.001 , 140.68 , 140.681
0 , 0 , 140.69 , 140.69
0 , 0 , 140.698 , 140.698
0 , 0 , 140.706 , 140.706
0 , 0 , 140.714 , 140.714
0 , 0 , 140.721 , 140.721
0.001 , 0 , 140.728 , 140.729
0 , 0 , 140.736 , 140.736
0 , 0 , 140.744 , 140.744
0.001 , 0 , 140.752 , 140.753
0 , 0 , 140.76 , 140.76
