#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.31551 , 0 , 315.51 , 315.82551
0.315525 , 0 , 315.525 , 315.840525
0.31554 , 0 , 315.54 , 315.85554
0.31554 , 0 , 315.54 , 315.85554
0.31554 , 0 , 315.54 , 315.85554
0.315542 , 0 , 315.542 , 315.857542
0.315542 , 0 , 315.542 , 315.857542
0.315542 , 0 , 315.542 , 315.857542
0.315542 , 0 , 315.542 , 315.857542
0.315542 , 0 , 315.542 , 315.857542
0.315542 , 0 , 315.542 , 315.857542
0.315543 , 0 , 315.543 , 315.858543
0.315544 , 0 , 315.544 , 315.859544
0.315544 , 0 , 315.544 , 315.859544
0.315544 , 0 , 315.544 , 315.859544
0.315544 , 0 , 315.544 , 315.859544
0.315544 , 0 , 315.544 , 315.859544
0.315544 , 0 , 315.544 , 315.859544
0.315544 , 0 , 315.544 , 315.859544
0.315546 , 0 , 315.546 , 315.861546
0.315546 , 0 , 315.546 , 315.861546
0.315546 , 0 , 315.546 , 315.861546
0.315546 , 0 , 315.546 , 315.861546
0.315546 , 0 , 315.546 , 315.861546
0.315546 , 0 , 315.546 , 315.861546
0.315546 , 0 , 315.546 , 315.861546
0.315548 , 0 , 315.548 , 315.863548
0.315548 , 0 , 315.548 , 315.863548
0.315548 , 0 , 315.548 , 315.863548
0.315548 , 0 , 315.548 , 315.863548
0.315548 , 0 , 315.548 , 315.863548
0.315548 , 0 , 315.548 , 315.863548
0.315548 , 0 , 315.548 , 315.863548
0.31555 , 0 , 315.55 , 315.86555
0.31555 , 0 , 315.55 , 315.86555
0.31555 , 0 , 315.55 , 315.86555
0.31555 , 0 , 315.55 , 315.86555
0.31555 , 0 , 315.55 , 315.86555
0.31555 , 0 , 315.55 , 315.86555
0.315552 , 0 , 315.552 , 315.867552
0.315552 , 0 , 315.552 , 315.867552
0.315552 , 0 , 315.552 , 315.867552
0.315552 , 0 , 315.552 , 315.867552
0.315552 , 0 , 315.552 , 315.867552
0.315552 , 0 , 315.552 , 315.867552
0.315552 , 0 , 315.552 , 315.867552
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
0.315554 , 0 , 315.554 , 315.869554
